nPsoRun,n_iter,S,fgbest,optDes
86,739,300,-59.000829146410574,[-0.0016402922559493026; 0.9999999973054138; -0.7320082491408265; -0.9999999998733982; 0.999999999588644; -0.9999999998836244; 0.002306051396650835; 0.7320869052915693]
87,221,300,-59.0000270778686,[0.0007459761230994797; -1.0; 0.73227441715075; -1.0; -0.7318257866505946; 0.0028602238521880873; 0.9999999999968678; 0.9999882874288052]
88,940,300,-59.000782167807714,[-0.00243127420268659; -0.9999999999999566; 1.0; 0.9999999998948148; -0.7323349554123214; -0.0024313518612850238; -0.9999999926537759; 0.7317604394670848]
89,1143,300,-59.00099879332079,[-0.9999999999718316; -0.0004912871102918823; -0.9999999994148207; 0.9999999997430282; -0.7321163251054293; -0.0006212986527773545; 0.7319848767468491; 0.9999999998807962]
90,691,300,-59.000867158137524,[0.7318863540363223; -0.9999999548442572; -0.7322116140706904; -0.9999999008545859; 0.9999999277715345; -0.0018638333498318515; -0.0008898624638752662; 1.0]
91,161,300,-58.988821792996035,[1.0; -1.0; 0.004429252976506967; 1.0; 0.7313439101114741; -0.9999997231404799; -0.013133328706369761; -0.7323840727961168]
92,564,300,-59.000943018036324,[0.0013430373458068775; 0.9999999990995186; 0.9999999999942748; -1.0; 0.732204678265675; -0.7318950340724707; -0.9999999949075478; 0.0012778730040664758]
93,423,300,-59.00081347841895,[1.0; 0.7323139504999207; -1.0; 0.002257673751459173; -0.999999984578051; -0.7317823053122458; 0.002242424729799909; 1.0]
94,1023,300,-59.00087409677566,[-0.9999999998489913; 0.9999999668756768; 0.7320099729354879; -1.0; -0.7320870243772857; 0.9999999170683099; 0.0012963632744389185; -0.001949984772563229]
95,771,300,-59.00100558615444,[0.9999999999993878; -1.0; -1.0; 0.7321025200001916; -0.731998871623778; 0.00045895499099891837; 1.0; 0.00041833528636235477]
96,219,300,-59.00064475242118,[-1.0; 0.9999999854031101; -0.7323979551201072; -0.003056786525533049; -0.002904194795046065; 0.9999999785859075; -1.0; 0.7316937109181876]
97,967,300,-59.00095561391993,[-0.001210208144641193; 0.7319177405493625; 0.9999999960272659; -0.9999999808518955; 1.0; -0.001029023003001812; -0.7321823269400803; -1.0]
98,208,300,-59.00100357185697,[-0.732049010247626; -1.0; 1.0; -0.00016389367143099565; 0.7320523852509573; -1.0; 0.9999999999998544; 0.00019171032822890203]
99,1147,300,-59.000254474691545,[-1.0; -0.004406231631055791; 1.0; 0.7315200015328799; -0.004406231635029934; 1.0; -1.0; -0.7325611692473291]
100,222,300,-59.00077144253596,[0.0009555937952234882; -0.7319279853106937; -1.0; 0.0011722526533303507; 0.9999999926747106; -1.0; 1.0; 0.7321732973975296]
101,232,300,-59.00061532323305,[-1.0; -0.0005205801831467871; -1.0; 1.0; 0.7318637983154489; -0.0025502167901511304; 1.0; -0.7322331827401648]
102,495,300,-59.000949188331965,[-0.7321957719089308; 0.9999999579066885; 1.0; -0.9999999999800928; -1.0; -0.0012063609395580109; -0.0012623607563575128; 0.7319041858667865]
103,383,300,-59.00032115029946,[0.004188668083066151; -0.7315486954882031; 0.9999999999839835; -1.0; -0.9999999220380393; 0.7325344575675198; 0.9999999995440689; 0.004156474167329732]
104,809,300,-58.998456397800155,[0.008086645813433933; 0.9999999999994212; 1.0; 0.008086643611574676; -0.9999999999999816; 0.7329718139755159; -0.9999999999756147; -0.7310609414521643]
105,394,300,-59.00086549685078,[1.0; 0.001841481240626322; 0.7322120777468044; -0.9999998458825908; -0.9999999078695396; -0.7318857953340088; 1.0; 0.0009212260926209372]
106,629,300,-59.00097170878794,[0.7319546144726222; 1.0; 1.0; -0.0006253941031515015; -0.0009928083687837646; -1.0; -0.7321457989559921; -1.0]
107,263,300,-59.000630673708976,[0.9999999718791457; -0.0024291910959956748; -0.0028331176674551628; 0.7317351790601391; -0.7323579965489928; 1.0; -0.9999998648548751; -0.9999992300304202]
108,228,300,-58.99918184301586,[0.7326582735559555; 0.9999880246835392; -1.0; 1.0; -1.0; 0.004967610661408241; 0.005318852552090092; -0.7314193945296041]
109,276,300,-59.00083087448505,[-0.9999999348873314; -0.7318153227632638; 0.0020870421938614134; -0.9999999860007697; 0.7322815679632882; 0.001861273550472954; 1.0; 0.9999999910050597]
110,810,300,-59.0004083848883,[-0.003934396138894645; -1.0; -0.7325074937485454; 0.99999999999959; -0.003934386544901052; 0.9999999999999876; 0.7315778210780821; -1.0]
111,225,300,-59.000982550669875,[-1.0; 0.0009015458851288156; 0.7321178128819996; -0.7319828707460218; 1.0; 0.00024060389975264184; -1.0; 1.0]
112,516,300,-59.00059731229125,[-0.0032402981120666363; 0.0008241587933452232; -1.0; 0.7319023192893346; 0.9999999361231621; -1.0; 0.9999998128441284; -0.7321868898553247]
113,1253,300,-59.00083087439797,[-0.9999999999999998; -0.7323038488649611; -1.0; 0.7317928413877414; -0.0021626045183131297; -0.002162604517304592; 1.0; 0.9999999999999996]
114,715,300,-59.00098769881978,[0.7319953389682435; -0.0005396166215127045; -0.999999999516345; -0.0003939344013208795; 0.9999999710945643; 0.9999999954512736; -0.9999999999999999; -0.7321055950611538]
115,262,300,-59.000563812372484,[0.7320632654068225; -0.7320373664964634; 0.9999965438823517; 0.0019489400045685733; -0.9999999986578904; -0.9999980672945945; 0.9999999232125392; -0.0017541187636449115]
116,221,300,-59.0006905968254,[0.7321278092483997; 1.0; -1.0; -0.0005098894608193289; 1.0; -1.0; -0.7319714991630917; 0.001774509898471958]
117,331,300,-59.000841251644395,[0.0014891521085046236; 0.7320584555731386; -0.0013201236186824944; -1.0; -0.7320406691317259; 0.9999998386208403; 1.0; -1.0]
118,504,300,-59.0008647480723,[0.0005844831246113123; 0.9999999863625132; -0.0019687009110065643; -0.9999999653783361; -1.0; 1.0; 0.731966670338425; -0.7321305176988188]
119,910,300,-59.00095040365066,[-1.0; -0.7321971189753361; 0.9999999999059387; -0.0012175253242312236; -0.999999999287055; 0.7319027818884488; 1.0; -0.0012737619405660467]
120,305,300,-59.00084211891148,[0.0011807559201094527; 1.0; -1.0; 0.7321211031323953; -1.0; -0.7319802836622316; -2.6664370680783378e-5; 1.0]
121,257,300,-59.00085264167203,[-0.7318835695602138; 0.002010152205927085; 0.999999903670858; 0.7322136573017398; 1.0; 0.0007812363952339272; -1.0; -1.0]
122,384,300,-59.00082674827374,[-0.7321819042900242; -0.0012228623912665668; 0.9999999965667451; -0.9999981301523955; -0.9999981305929146; 0.7319187530971908; 1.0; -0.0009739299858294703]
123,467,300,-59.00056185745262,[-0.0004925264401238439; -0.7318699167072081; -1.0; -0.9999999868241535; 0.7322182971423855; 1.0; 0.9999996637584051; 0.0034351186448116785]
124,358,300,-59.000719431989715,[0.0023967619393308035; 0.7321638186118439; -0.9999988619551787; -0.9999999895151946; -0.731931783590789; 1.0; -0.00041827314298700856; 1.0]
125,757,300,-58.99932430584334,[-0.006572384588205611; -0.7328045870736024; -0.006572425271824399; -0.9999999999734651; -1.0; 0.7312515433245665; 0.999999999962207; 1.0]
126,766,300,-59.00101030018949,[-1.0; 0.00010613820320059197; 0.9999999999998498; 0.7320749892728879; -0.732026522980118; -1.0; 0.0003040849930987474; 0.999999999973446]
127,215,300,-59.00068961648006,[-1.0; 0.7319503794229889; 1.0; 0.00036879533186727953; -0.002036733867497289; -0.9999999998202692; -0.7321490733034071; 0.9999988537575287]
128,757,300,-59.00073009342296,[-0.0026932409637156554; 0.7317287914262414; 1.0; -1.0; 1.0; -1.0; -0.7323651855726229; -0.0026932437074381308]
129,86,300,-58.912944103500685,[-0.016204064063063805; -0.7300914985172015; 1.0; 1.0; -1.0; 0.7318576304688814; -0.9998481458796769; 0.03621093284683194]
130,844,300,-59.00098368055166,[-0.7319911690525854; 0.9999999990101935; 0.999999999997967; -0.9999999999999477; 0.7321095289265966; 0.000894482421727875; -0.9999999999999413; 0.00010731201178465332]
131,1403,300,-59.000677352360476,[-0.999999999999998; 0.9999999999999694; 0.9999999999999982; 0.0029329534216992405; -0.7316997600526595; -1.0; 0.002932953673649906; 0.7323927966854278]
132,745,300,-58.99951202167537,[0.999999998736256; -1.0; 0.7327626788317907; 0.9999999999921566; 0.006196132796283022; 0.006196533678495704; -0.7312985048260495; -1.0]
133,189,300,-58.9997931243917,[-0.0044778333887902574; -1.0; 0.999996162720741; -0.7321025704294456; -0.9999980739139247; 0.7319788666139928; 0.003354369298891148; 0.9999935157322903]
134,558,300,-58.995702830483324,[-0.999999999734635; -0.7333491995915593; -0.011545761198961097; 0.7306099887562799; 0.9999999999999999; -1.0; 1.0; -0.011638129973664372]
135,116,300,-58.98153616590922,[-1.0; -0.7329861705251283; 1.0; 0.7305194828760517; -5.770429883009392e-5; 1.0; -1.0; -0.020900295630370182]
136,272,300,-58.99939229438886,[-1.0; 1.0; 0.006139479153848448; 0.7327235633049131; 1.0; -0.9999987802487978; -0.7313401346920021; 0.005618893181139438]
137,448,300,-59.00098588048465,[0.000790055732793867; -1.0; 0.9999999994730849; 0.7321463892777588; -0.7319545039299751; 0.9999999999883123; 0.0008338771943714734; -1.0]
138,523,300,-59.00094600695987,[0.7322034207036253; -0.7318964233855466; 0.9999999989758606; 1.0; 0.0013006161325922138; -0.9999999764639906; -0.9999999775007428; 0.0012982082480678568]
139,742,300,-59.00100581460342,[-0.7320090752735009; 0.9999999999947041; 0.00045669148341834963; -1.0; 0.9999999997934722; 0.0002478260586761224; 0.7320923116224368; -0.9999999999941861]
140,994,300,-59.00100004663964,[-0.9999999999992195; 0.9999999999997552; 0.000592887745928584; 0.9999999999851824; -0.9999999999928366; 0.7321202691858995; -0.7319809754019309; 0.000586108643978948]
141,1576,300,-59.00095660041587,[0.0012709145694803897; -0.001216584398662098; 0.9999999944789788; -0.9999999993186838; -0.73204659729832; -1.0; 1.0; 0.7320530701608264]
142,573,300,-59.00043334561627,[0.7315893648339423; -1.0; -0.9999999870364131; -0.003835630874630901; 1.0; -0.0038441032052457; 0.9999999821421527; -0.7324967208169388]
143,846,300,-59.000994299955934,[-0.9999999935479538; -0.9999999962579356; 0.9999999987463463; -0.000730192875860295; -0.7320669428530723; 0.9999999995205697; 0.00045168048375572524; 0.7320340421735981]
144,1639,300,-59.00091894470827,[0.7322335108855791; -0.9999999999978133; -0.7318655506030396; 0.0015572520913736012; -1.0; 0.0015571973514853148; 0.9999999999991867; 0.9999999999995607]
145,568,300,-59.00097583903736,[1.0; -0.0008398912895117098; 0.0010525371342884773; 0.7320626932601719; -0.7320375702379076; -1.0; -1.0; 1.0]
146,138,300,-58.999504156587534,[-0.0012872089588491344; 1.0; -0.004819540066378972; 0.7316957500518263; -0.7323905566519886; -1.0; 1.0; -1.0]
147,47,300,-58.395385130775374,[-1.0; -0.06761258925579905; -1.0; 1.0; 1.0; 0.7308473452052442; -0.7201601679215354; 0.10576412550000296]
148,1279,300,-59.000928649987685,[0.0015808502376298739; 0.9999999999999566; -0.9999999999999981; 1.0; 0.7320632850883518; -0.0013437111338861175; -1.0; -0.7320352686839903]
149,184,300,-58.99936960840484,[-0.7320167415609665; -1.0; -1.0; 0.005704921074563661; -0.005609522263565592; 0.9999995208723157; 0.7320300214827357; 1.0]
150,3670,300,-58.99538145285727,[-0.7333925767300884; 0.7305573697105942; -0.01199449326067541; -0.9999999999968463; 0.9999999997169171; 0.9999999999061695; -0.012001319328161147; -0.999999999592059]
151,427,300,-59.00064316325379,[0.9999999999999142; -0.0030764271147061158; -0.9999999994761503; -0.9999999996006529; -0.003078230314946144; -0.7324093951953711; 0.7316822418875136; 0.9999999999999991]
152,596,300,-59.00100075477342,[-0.0005707331846663025; 0.731982848033263; -0.9999999996233523; -0.000576732263593462; -0.7321184168935314; 0.9999999998095612; 1.0; -0.9999999999997047]
153,706,300,-59.0010078666315,[0.0003926772092909067; 1.0; 1.0; 0.7320889609780094; -1.0; -0.7320124868202602; 0.0002546077876714873; -1.0]
154,373,300,-59.00074687784719,[-1.0; -0.0019424109267390892; 1.0; -0.7322420260685475; -0.9999999999988465; -0.0013532432504183994; 0.7318568801980794; 0.9999978609743599]
155,425,300,-59.000933901627675,[0.9999999858448155; 0.0013202366342961293; -1.0; 0.0013928476671455081; 0.7322101162485536; -1.0; -0.7318894565094645; 0.9999999888688328]
156,1165,300,-59.000189125782434,[0.7325822297730727; -0.7314971814705348; 0.0045919308411418005; 1.0; -1.0; 0.004591930836480526; -1.0; 0.9999999999999997]
157,160,300,-59.000691741131476,[-0.001585867890226092; -1.0; 1.0; 0.7320657386960144; 0.0019235189585653546; -1.0; -0.7320295489482469; 1.0]
158,807,300,-59.0009973066391,[-0.7319915226056459; 0.732109732684414; 0.9999999878702385; -0.9999999996526112; 0.0006018211844351761; -1.0; 0.00039808939064640776; 0.9999999781579649]
159,1398,300,-59.00061169295621,[-0.7316665680818131; 0.9999999999988113; -1.0; 0.0032064081224688367; 0.003206408274488436; 0.7324242207988372; -0.9999999999998396; 1.0]
