nPsoRun,n_iter,S,fgbest,optDes
52,2167,300,0.8344159725735489,[0.9999996422735157 0.9999999981993506; -0.0014044285610272096 -0.1641338078698691; 0.011246598888820895 0.7974156116975919; 0.9999999999856938 0.026303055527889176; -0.9999994871867928 0.9999999882520993; -0.9999999998921213 -0.12893052694132465; -0.4958718455563953 -0.9999999993994556; 0.746591521118676 -0.999999999953506]
53,608,300,0.8356994147412041,[0.04573244811500716 -0.9999140864484148; -0.1498119164132107 0.005273086093895839; -0.9999046541041153 0.4679137563498268; -0.9999625068189246 -0.7889240569155674; 0.9999336227544732 0.9999556672119788; 0.7993631484822371 -0.01075941372825144; -0.15616610424146513 0.9999949619440041; 0.99998885061667 -0.9999940999288346]
54,1282,300,0.8330792316885035,[-0.999999999847869 0.056112302314055125; 0.00046191191822054215 -0.7943789929937194; 0.6303202288341977 0.9999999912074; -0.6312128456388719 0.9999998262313169; 0.9999999467453123 -0.9999999337773474; 0.0011158405550430442 0.13453882635961986; -0.9999999984623283 -0.9999999996345336; 0.9996930937247741 0.05638190436103453]
55,772,300,0.8345973890228366,[0.4901229742754585 0.9999356815792932; -0.9999702109273204 -0.0295452969743411; -0.7461290078621323 0.9999989625281556; 0.9999965614116274 0.1289634175343252; -0.010465129302099835 -0.7978085771973622; 0.004046181888165608 0.15964550837191918; 0.9999888563225059 -0.9999899723567567; -0.9999997600814788 -0.9999997447764652]
56,1600,300,0.838162598689341,[0.999999999996462 -0.9999999999999166; 0.0010748349336460997 -0.8353498636634378; -0.9999999999974336 0.9999999999997521; 0.8364498388974766 -0.011563163772954858; -0.9999999999988315 -0.9999999999900047; -0.842536284845822 -0.0031266536515601735; 1.0 0.9999999999999739; 0.009581941449505258 0.8434972078940258]
57,527,300,0.8367764255025398,[-0.010654178597842621 0.8007989640938961; -0.9999702518717106 0.9999084133297249; 0.010514737748268976 -0.149627799565354; 0.9999788692871565 0.9999596658957428; 0.45258722596314743 -0.9999997776247962; -0.9999185303643054 0.0569629922983901; -0.827111619035868 -1.0; 0.9998524875240995 -0.17934996270268128]
58,1675,300,0.8332680158320719,[-0.7928396515591163 -0.0006591324118654049; -0.9999999999926873 0.9999999999992953; -0.9999999999977935 -0.9999999999999762; 0.9999999999963743 0.6581338243600019; 0.06230479095755056 0.9999999999945345; 0.14757090857452956 -0.006978207591129661; 0.07011606238751714 -0.9999999998713862; 0.9999999999986326 -0.6431927424702572]
59,1111,300,0.83688068595937,[-0.9999978804469972 0.9999997147626685; 0.9999933130984834 0.9999839831755856; 0.999883420595165 -0.1677703832581285; 0.018891311129402587 -0.14002874531830964; -0.999999729448617 0.06942858032305621; -0.8054083049240288 -0.9999981758110176; -0.006434414095031474 0.8013995965777788; 0.42891314136344233 -0.9999990743543771]
60,826,300,0.8388184944126891,[1.0 0.9999999569068102; -1.0 -1.0; -0.9999997445133636 1.0; 0.03163690883002161 -0.8450780458070334; 1.0 -0.9999999686619703; -0.8516423856880273 0.0008121986623561673; 0.008250687446088674 0.8320867338362316; 0.8287513682634483 0.02387287401619565]
61,1963,300,0.8338217717029331,[0.529112324154201 -1.0; -0.9999999999998829 0.9999999999993816; 0.9999999999943235 0.9999999999986506; -0.7365488001361158 -0.9999999999995376; 0.9999999999992409 -0.12104787535020789; -0.9999999999957093 0.006366425569062274; 0.0068097874199786294 -0.16029099217385664; -0.008922250783404395 0.7960087219307672]
62,1929,300,0.834153146984201,[0.17569927180960399 -0.009961748905585658; -0.9999999999995756 0.9999999999999699; -0.0069873121835443905 -1.0; -0.9999999999999061 -0.9999999999998205; 0.13365284623245827 0.9999999999999495; -0.7955324069237499 -0.013996920938864687; 0.9999999999999324 0.532249102440949; 1.0 -0.7572321550672674]
63,2800,300,0.8343030062692338,[-0.7580148121639857 0.9999999999896291; -1.0 0.0037960471529794523; -0.01965396863265049 0.17917486450264275; 1.0 -0.9999999999994414; 1.0 0.13379027844446756; -0.9999999999904832 -0.9999999999938548; -0.015272056884095088 -0.7944116242589786; 0.5535720222734134 1.0]
64,2519,300,0.8381559884885277,[0.9999999995754993 0.9999999999993358; -0.8407932713980228 -0.015490599725374027; -0.008153937639024403 0.8422015581378895; 0.013867066042209034 -0.8370758849860174; 0.8377745521747696 0.006551717497897426; -0.9999910859742844 0.9999999999690723; 0.9999999999868281 -0.9999999999943132; -0.9999999999655637 -1.0]
65,465,300,0.8357760395296552,[1.0 0.15089763427490926; 0.45855549389618155 1.0; 0.9997192144105285 -0.9999197360273969; -0.7779680211331291 0.9999466096928424; -0.012692189083308027 -0.799091159354168; -0.00659013465548292 0.1598098822934767; -1.0 -0.9999820968991039; -0.9999987461822939 -0.05108480920580596]
66,789,300,0.8337877393611214,[0.9999580255815594 0.999995588727341; -0.16530279946802692 0.0027019810674208827; -1.0 0.7378997238346527; -0.009288058201269234 0.9999975354769979; 0.9999729065477253 -0.999986465293885; 0.7944847891450322 0.01004538256550618; -0.9999943814616383 -0.5585650396812092; -0.12105645743148785 -0.9999621230825243]
67,2435,300,0.8613862529134819,[0.03744041836561506 -0.6616929258341688; -0.9708661145469982 -0.9999999999999877; -0.9438184827379293 -0.01237417146837156; -0.9722142245197408 0.9999999999998794; 0.9042263292888897 -0.005121824312957587; 0.9999999999995066 0.9999999999999907; 0.03171344221975091 0.6751883079863692; 0.99999999999991 -0.9999999999999993]
68,1035,300,0.8336130205000799,[0.999999999987516 -0.9999999623129688; -0.6661867078602574 0.9999999793850444; 0.011131541507443 0.12814910411162836; 0.9999807649800223 0.07959682601458301; -0.0019216706564184948 -0.7960389383678189; 0.5559243264419749 0.9999999989786794; -0.9999990489018987 0.012126709049952866; -0.9999999992250255 -0.9999999975745042]
69,2371,300,0.8382614287596349,[0.005960931751619313 -0.8384786274306331; 0.9999999999583602 -0.9999999999995729; -0.8465668423441444 0.0047469810560411396; 0.8328729577240219 -0.007711253996551741; 0.018418548587327215 0.8398587693046919; -0.9999999999943777 -0.9999999999995975; -0.9999999999987141 0.9999999999994164; 0.9999999999925085 0.9999999999997657]
