nPsoRun,n_iter,S,fgbest,optDes
83,344,300,0.5794087420580454,[1.0; 0.0003102713106250551; -0.00024010422326110661; 0.7799385674094121; -0.9999999999874316; -0.7799322427969022]
84,387,300,0.579408716416311,[-0.00013688167485076765; 0.7799362097766472; 0.00015429279916499226; -0.9999999751162033; -0.7799346782569223; 1.0]
85,357,300,0.5794088106376716,[-0.7799583142589687; -0.0003837699299091305; 1.0; -0.9999999994119592; -0.0001216541990471019; 0.7799126075287405]
86,575,300,0.5794094285527587,[-0.0010179787255677941; -0.9999997702514855; 0.9999999818931106; -0.7800135048592384; -0.000718457443882232; 0.7798569563467331]
87,256,300,0.5794087093777827,[0.999999994661176; -0.7799348255578191; 0.7799360736751072; -0.9999999806163241; -0.00011110591745225356; 0.00012518396091892728]
88,67,300,0.5806684800485993,[0.030540996377317865; 1.0; 0.7834165254213833; 0.037974849232759136; -1.0; -0.7770199979403807]
89,763,300,0.5794112986060467,[0.9999999994965735; -1.0; 0.0019178226311619103; 0.0019181642848118715; -0.7797622171552371; 0.78010806574127]
90,239,300,0.5794089303689183,[-0.0006075203076058995; 0.0005579763010455071; 0.9999999997585869; -0.999999996383446; -0.7799376548325434; 0.7799330366257647]
91,388,300,0.5794095836987727,[-0.0009510121091651404; 0.9999999716962186; -0.0008905444186747924; -0.9999997473591745; 0.7798522268983307; -0.7800191290429309]
92,603,300,0.5794087049973367,[-0.9999999996737069; -0.7799466113746767; 0.9999999999273523; 0.7799242973823792; -0.00011920954453586797; -0.00012798451445015702]
93,294,300,0.5794087907119614,[0.00043132130061291626; -1.0; 1.0; -0.7799300060174154; -0.0003124580981562142; 0.779940721610249]
94,383,300,0.5794092797825554,[-1.0; -0.7800125236041779; -0.0009361932597317661; 0.7798581021133554; -0.0007767054507965922; 1.0]
95,586,300,0.5794090315165035,[1.0; -0.0006963963496993016; -0.9999999979978191; 0.7798726168569694; -0.7799981915853617; -0.0006964575449964729]
96,412,300,0.5794093014678965,[0.0008844429455553647; -0.999999840798189; 0.0008793566319929991; -0.7798558274669493; 0.7800148522993349; 0.9999999228723754]
97,281,300,0.579409136664863,[0.7799375639534001; -0.0007501315278155303; 1.0; 0.0008041628049790328; -0.999999901552996; -0.7799329686405837]
98,193,300,0.5794103119112664,[0.7800233904770683; 1.0; 0.0009905524687320178; -0.7798506111914959; 0.0009627550213110793; -1.0]
99,388,300,0.5794093326010945,[-0.0007572419398554625; -0.9999992207066465; 0.7798657664180113; -0.0007854480324238649; 0.9999997696546176; -0.7800047487113172]
100,453,300,0.5794087862851628,[-0.9999999543810432; -3.71141911649183e-5; -0.0003776972000366461; -0.7799541030062969; 0.9999999880953608; 0.7799166857047528]
101,297,300,0.5794087810351263,[0.0002529847268979737; 1.0; -1.0; 0.779948146326291; -0.7799228985117899; 2.942681884840939e-5]
102,681,300,0.5794095004820498,[0.7800318875393837; 0.0010707957881557666; -0.7798388118948736; 0.0010707531543234128; -0.9999999999869578; 0.9999999999996749]
103,292,300,0.5794103934848436,[-0.779946182079149; 0.9999959115913883; -0.9999984191088443; -0.0006857679217171949; 0.7799237734212084; 0.00044342434459263794]
104,378,300,0.5794087156035035,[-0.00022017703630681213; 0.779926157686147; -1.0; -0.7799446980610195; 1.0; 1.460658207416529e-5]
105,718,300,0.5794087105472678,[-0.7799501716819813; -1.0; -0.00014090461673087383; 0.7799207034389473; -0.0001859423987144918; 0.9999999984915477]
106,420,300,0.579408755281823,[0.9999999971908522; -0.7799627724157533; -0.9999999999998029; 0.7799080980082845; -0.00031012984667118946; -0.0002963180934035341]
107,649,300,0.579408955923981,[-0.999999999987474; 0.0006336259812502458; -0.7798835300596485; 0.0005165778310800204; 0.7799872287332892; 1.0]
108,463,300,0.5794090564511063,[-0.7799775307701755; -0.0002576954757318048; -0.9999999909260188; -0.0006795240767012197; 0.9999995663320785; 0.7798929608161224]
109,41,300,0.5811393359056829,[-0.7806775051852664; 0.007718995465753914; 1.0; -0.016939324921132703; 0.7844292797396956; -1.0]
110,307,300,0.5794088959219605,[-0.9999999999999581; -0.0005977607418444446; -0.779938578939749; 0.0005253542659223535; 0.7799320293599434; 1.0]
111,583,300,0.5794089109848835,[0.7799397400393149; -0.0005309001344347488; 0.0006299513048782099; -1.0; -0.7799308099393497; 1.0]
112,185,300,0.5794100473055406,[0.0009282121798999715; 1.0; -1.0; 0.7800110377934001; -0.7798600057889415; 0.0007258366661991324]
113,337,300,0.5794088600673031,[1.0; 0.0004984964299166446; 0.779972337880909; -0.7798984652805497; -0.9999999754685013; 0.0003205006929337501]
114,859,300,0.5794104647465291,[0.7800779447884221; -0.7797925301164735; 1.0; -0.9999999999984276; 0.0015828706981140927; 0.0015828635450012701]
115,553,300,0.5794088670132708,[0.9999999999935403; -0.9999999968181774; -0.7799189080424794; 0.0005692836333036156; -0.00020543608516916813; 0.7799517043916918]
116,477,300,0.5794087763545472,[-0.0002708984316749302; 0.0003996923240814946; -0.7799295686834775; 0.7799411798984217; 0.999999998147555; -0.9999999984524327]
117,387,300,0.5794088560124092,[0.9999999772649404; 0.7798961607607773; -0.7799746267898339; -0.000500541628548411; -0.00036975186529722106; -1.0]
118,248,300,0.5794087808883301,[-0.7799479918109644; 1.0; 0.7799227901414055; -0.9999999971962836; -0.00038242614783909345; 0.00010334081668545289]
119,322,300,0.579410277694813,[0.7798034157529512; -1.0; -0.001450831378623508; 1.0; -0.7800669840028553; -0.0014728874017478934]
120,657,300,0.5794090759269704,[-0.0005940851180208144; 0.779875295602596; -0.9999999318405285; 0.9999999582523414; -0.7799953823258637; -0.0007379778188247765]
121,684,300,0.5794088696468046,[-0.7798959805274467; 0.00035324687402484294; -0.9999999901550641; 0.0005207419703242297; 0.9999999989899631; 0.7799747772238513]
122,193,300,0.5794091873331249,[0.00044517652071891377; 1.0; 0.0001445058992353548; 0.7799627219091259; -1.0; -0.7799084605676775]
123,367,300,0.5794091892954738,[0.7799970543643244; 0.0008292576964316407; 0.0005383579361629542; -0.9999999999948941; 0.9999999994801552; -0.7798737461510777]
124,40,300,0.5869448627922613,[1.0; -1.0; -0.0355321109854729; 0.06168201532439904; -0.7981148180218332; 0.7762224999116519]
125,307,300,0.5794092958283308,[0.9999992392494764; -7.58950769154564e-5; -0.9999994553076479; 0.7799030602954271; -0.0006437791277541286; -0.7799675378194297]
126,326,300,0.5794090952729152,[0.0005961432214972799; -0.9999996570572776; 0.7799937935223006; 0.9999999849399999; -0.7798768656687471; 0.0007000365003208886]
127,207,300,0.5794178287115108,[-0.999989116948847; -0.7798498846699717; -0.001021758958049031; 0.7800203274844156; 0.0028147291051883834; 1.0]
128,410,300,0.579408779537577,[-0.7799095796651858; 0.0002724892440160673; 0.00030059639877390456; 0.9999999357209169; -0.9999999806433575; 0.7799612552050454]
129,497,300,0.5794087798780765,[-0.0002962791062507175; 0.7799052159226378; -0.9999999999070133; 1.0; -0.00037376882749400514; -0.7799656251752449]
130,315,300,0.579408854261334,[7.300953340418166e-5; 0.7799161811994535; -0.0004997603461854097; 1.0; -0.7799546029801461; -1.0]
131,266,300,0.5794088562038866,[0.7799538913209474; 0.999999999698819; -0.00013439933079681043; 0.0005464549536638251; -1.0; -0.7799167378285462]
132,386,300,0.5794095747325418,[-0.7798348864214296; -1.0; 0.001108378597172418; 0.001119965361899199; 0.9999999990642717; 0.780035785175104]
133,331,300,0.5794088425052504,[-1.0; -0.7799011140982971; 1.0; 0.7799696432895489; 0.00025988268746003753; 0.0005001832353041816]
134,519,300,0.5794087372222794,[-0.00021208790092979284; -0.0002757615632324356; -1.0; 0.9999999999999961; 0.7799134392882238; -0.7799574225278244]
135,472,300,0.5794088282747933,[-0.7799024026978795; 1.0; -1.0; 0.0004773376180817622; 0.00025431470094281096; 0.7799683658596531]
136,297,300,0.5794094253888489,[-0.999999999992179; -0.780027030305965; 0.7798436779220417; -0.0010207879998259384; -0.0010129226485162354; 1.0]
137,364,300,0.579408811817703,[0.00043999839725319994; -6.316903312270941e-5; -0.7799183733995059; 0.7799523426428941; 0.9999999248092433; -1.0]
138,463,300,0.5794088059839748,[0.7799553802162669; 1.0; 0.00036650635354052737; -0.9999999879650274; -0.7799153336316247; 7.774958219925954e-5]
139,459,300,0.57941024185247,[0.7800684752054916; -0.7798020685001419; -1.0; 0.0014766198696605946; 0.0014781624122145065; 1.0]
140,392,300,0.5794105265534614,[-0.7797924463991124; 0.780077932231752; 0.9999999826647359; 0.0015703180356045094; -0.9999998272742553; 0.0015959049224363885]
141,726,300,0.5794086987498002,[0.0001450952860870807; -0.7799344022910659; -1.0; -0.00012217524596820593; 0.7799364686860059; 0.9999999999995974]
142,601,300,0.5794089084331953,[-0.9999999961296047; 0.7799817878809208; 0.9999999968083321; 0.0004564311646630333; 0.0005728275926994255; -0.7798889929383043]
