nPsoRun,n_iter,S,fgbest,optDes
206,242,300,-60.00000000000002,[1.0; -2.296768107712023e-8; -1.0; -1.0; 1.0; 1.8212953154033174e-8]
207,214,300,-60.00000000000002,[-1.0; -2.165611333416349e-8; 1.0; -1.0; 1.0; 1.6571749006187517e-8]
208,206,300,-60.00000000000002,[-1.0; 1.0; -2.54301321612971e-8; 1.0; 1.788018395941839e-8; -1.0]
209,274,300,-60.00000000000002,[-1.0; -2.0005550126479684e-8; 1.0; 2.418818866966864e-8; -1.0; 1.0]
210,84,300,-59.99998807734181,[1.0; -1.0; -0.0002971800648471349; -1.0; 1.0; -0.0001233700498907836]
211,170,300,-60.000000000000014,[-1.0; 5.9215549723112064e-9; 1.0; 1.0; -1.0; -1.5049202327004464e-8]
212,176,300,-60.00000000000002,[1.0; 1.0; 2.139514054438513e-8; -1.0; -1.0; -1.5360212615480574e-8]
213,196,300,-60.00000000000002,[2.2165618979901638e-8; -1.0; -1.7593738127946703e-8; 1.0; -1.0; 1.0]
214,223,300,-60.00000000000002,[-1.096521710739928e-8; 1.0; 2.0482284299427284e-8; -1.0; 1.0; -1.0]
215,232,300,-60.00000000000002,[1.0; -2.262658105732424e-8; 1.0; -1.0; 2.409131597312286e-8; -1.0]
216,191,300,-60.000000000000014,[1.0; -1.0; -1.8582218218760338e-8; -1.0; 2.1628325272831848e-8; 1.0]
217,211,300,-60.00000000000002,[1.0; 1.8913476481937833e-8; -1.0; 1.0; -2.2555072253107158e-8; -1.0]
218,213,300,-60.00000000000002,[-2.2963876854015033e-8; -1.0; 1.7853480548452452e-8; 1.0; -1.0; 1.0]
219,217,300,-60.00000000000002,[-1.0; 1.0; -2.3743105536455334e-8; 1.0; 2.453333030426637e-8; -1.0]
220,223,300,-60.00000000000002,[1.0; -2.0996367010426346e-8; 1.0; 2.467830533828455e-8; -1.0; -1.0]
221,197,300,-60.00000000000002,[1.0; -1.0; -1.0; 1.9094318914318777e-8; -2.0669663867314477e-8; 1.0]
222,211,300,-60.00000000000002,[1.0; 1.0; 2.4138955244595405e-8; -1.0; -2.526106917880606e-8; -1.0]
223,162,300,-60.00000000000002,[1.0; 2.1081087043791928e-8; -1.0; -1.709706582727704e-8; -1.0; 1.0]
224,193,300,-60.00000000000002,[1.0; 1.0; -2.06393560525452e-8; -1.0; 1.6971786347900915e-8; -1.0]
225,164,300,-60.00000000000002,[1.0; -1.0; 1.0; 1.7505242126468406e-8; -1.0; -1.6949441026418842e-8]
226,182,300,-60.00000000000002,[-2.0699455214007776e-8; 1.0; -1.0; 2.0010334324985167e-8; 1.0; -1.0]
