nPsoRun,n_iter,S,fgbest,optDes
39,4767,300,-39.86333664173201,[1.0 0.7394873143367966; 0.9999999999999992 -0.740142360068333; -0.9999999999994684 -0.8209673783522158; -0.9999999999999895 0.40857983467084014; -0.5144980724980257 0.9999999999999989; -0.9872088798554536 -0.9999999999999655; 0.08890810396115187 -0.75959180254122; -0.9999999999999786 0.9998752585309922; 0.7855475240106544 0.9999999999973869; -0.33510588823703097 -0.08542633116410808; 0.9968309954360796 -1.0]
40,2495,300,-41.792505121504874,[-0.9999999999999988 -0.9013955602025346; 1.0 -0.787313244949039; 0.8319847807847496 1.0; -0.9463433329221898 -0.10848219961505247; 0.028752648691458188 0.6954576205538315; -0.9032586445370534 0.9999999999999991; -0.7231055610713268 -1.0; 0.8075520135811036 -1.0; -0.3065635676173422 -0.052330119742227635; 1.0 0.764268550294669; -0.9999999999999988 0.8345645052087572]
41,3197,300,-42.4911859250306,[1.0 -0.8188520937890492; -0.7680895289857781 -1.0; 0.27766494053076884 0.9999999999999999; -0.8543744704733344 0.9999999999999997; 0.05556305897921432 0.5225960396689514; -0.640824050006864 -0.09775810219185661; 0.9999999999999998 0.680158858317472; -0.999999999999999 0.8231764018591393; -0.9999999999999999 -0.8349132887295873; 0.9984993469957841 1.0; 0.7845068191725743 -0.9999999999999997]
42,3473,300,-39.61820694575171,[0.999996305167786 -0.9720322403387395; -0.7782485924780977 -0.9999999999999999; 1.0 0.78734078101538; -0.7129761625535268 -0.019439395817227516; -0.015394211327173031 0.6036425870207436; 0.7385480696802699 0.9999999999999998; -0.9999999999999963 0.9999999999999926; -0.999999999999999 -0.9933317554170998; 0.5266540242944894 -0.9999999999999997; -0.9999999999999999 0.96167453349399; 0.9999999999999997 -0.2597426411682628]
43,3729,300,-42.51438750558334,[0.9999999999999998 -0.7739201648923398; -0.8279744246329287 -0.9999999999999992; 0.8345244969949887 -1.0; -0.999999999995751 0.9999999999999998; 0.8180376949757295 1.0; -0.9999999999999989 0.2981827393212865; -0.9999999999999993 -0.8539195578344456; -0.5253626464075614 0.043505366381395204; 0.9999999999999999 0.7839856138193148; 0.0250666389239209 -0.6456881175621034; -0.6722006674197806 0.9999999999999997]
44,2862,300,-41.06437196798598,[0.976493628134356 -0.9999471848211829; -0.7541138853772362 1.0; 0.03811540223120163 -0.5317058547012391; 1.0 0.8123492027231243; -0.9999999999999856 0.8091189404184742; -1.0 -0.5846430529270279; 0.7659740944182855 1.0; 0.6963909338129133 0.014883142805821677; -0.4254189614911563 -0.9999999999999998; 0.9999999999999992 -0.999999980354447; -0.9999947260794297 -0.9999999999999993]
45,3049,300,-42.99655523690688,[0.45352467487341386 0.17830619895074204; -0.01923379521018633 -0.5692263255716791; -0.9999999999999984 0.8081629365683032; -1.0 -0.7852086680242568; 0.9999999999999983 -0.853529754804117; 0.9999999999906133 0.8688627882710043; -0.8457282027127353 -0.9999999999999993; 0.7401208436886755 -0.9999999999999998; -0.8235057830303469 0.9999999999999999; 0.773970933990356 0.9999999999999988; 0.999999999999998 -0.23471854021225666]
46,3701,300,-39.14894118482911,[0.9999999999999993 0.9999999999999907; 0.749563293766159 -0.9999999999999966; -0.9990346594566013 0.9999999999999987; -0.28341716434418684 0.9934783028069104; 1.0 -0.9999739642225332; 0.03504795700778559 -0.23292248330214346; 0.7588998382272665 0.9999999999999999; -0.9999999999999998 -0.7735392646938672; 0.8150114320636633 0.048991884561435495; -0.7445961790666217 -0.9999999999999999; -0.9999999999999992 0.5317525784875966]
47,286,300,-39.17996916709059,[-0.9999999964965541 -0.9967377684249048; 0.002112536947320972 -0.7704140770974115; -1.0 -0.7865373046581821; 0.9999387918922228 0.7465943135561738; 0.9353130095760256 -0.9988727922330514; -1.0 0.11289831164178957; 0.999613195501254 -0.7418695125522611; -0.6334483789999279 0.9999999610683422; 0.9497062488221938 0.9998545124539434; -0.9998626889367328 0.9167476387301057; -0.0735622147451241 -0.020321107043287177]
48,9193,300,-39.75442914873048,[-0.9999999999999993 -0.8036026884202012; 0.9999999999999996 0.748753955171299; 0.06671315788627073 -0.7886292802193469; -0.9999999999999998 0.9648387260683143; -0.5992419206949257 0.9999999999999999; 0.9999999999999996 -0.7319584933710533; -0.999938404531184 0.22439432814520713; -0.9948217861518505 -0.9999999999999982; -0.1485730325797195 -0.045966077078681576; 0.9972270073238748 -0.9999999999999997; 0.7782367363692808 0.9999999999999927]
49,3019,300,-40.775534961811644,[-0.9999999999999997 -1.0; -0.9998587749676707 0.9999886578135091; 0.9999999999999999 0.7630686013543836; 1.0 -0.8204740662806762; 0.7856679156488006 0.9999999999999997; 0.8066617617591507 -0.9999999999999997; -0.9999999999999998 -0.7830189564057863; -0.10733199569677061 -0.6717895938296709; 0.5821984705152815 0.03974115784089049; -0.9999999999999984 0.5151985829433879; -0.38602063995156527 0.9999999999999998]
