nPsoRun,n_iter,S,fgbest,optDes
61,231,300,-75.00000000000001,[8.889604054053652e-9; 1.474840905437755e-8; 1.0; 5.211360660376185e-9; 1.0; -1.0; -1.0; -1.0; 1.0]
62,246,300,-75.00000000000001,[3.9902334910151754e-9; 1.0; -1.0; -1.0; 1.0; 8.078215022677288e-9; 1.0; -1.0; -3.4592492694791594e-10]
63,279,300,-75.00000000000001,[1.0; -1.0; 1.0; -4.421183570341508e-10; -1.0; 1.431939559212541e-9; -1.0; 1.605261235162687e-8; 1.0]
64,297,300,-75.00000000000001,[-1.0; -4.635784036439437e-9; -1.0; 1.0; 1.0; 1.0; 4.352206259811034e-9; -1.0; 6.597488190331724e-9]
65,321,300,-75.00000000000001,[-9.007640872000833e-9; -1.0; 1.0; 1.0; -1.0; 1.2199182097356975e-8; -1.0490482977301114e-8; 1.0; -1.0]
66,282,300,-75.00000000000001,[1.0; -1.0; 2.0538137677811903e-8; -1.376026657987814e-9; -1.0; -1.0; 1.0; -1.0941617311993148e-8; 1.0]
67,269,300,-75.00000000000003,[6.179253202429264e-9; 1.0; 1.0; -1.0; 1.0; -1.0; -1.0; -7.1015603535401404e-9; -5.867943690513545e-9]
68,234,300,-75.00000000000003,[1.0; 1.6700615586368128e-8; -0.9999999999999999; -1.5403925174805488e-8; -1.0; 1.0; -9.235697349663026e-9; 1.0; -1.0]
69,278,300,-75.00000000000001,[1.0; -0.9999999999999999; 2.6144459812261298e-8; 1.0; -1.0; -2.586637857641643e-8; 1.0; 1.2065070217214755e-10; -0.9999999999999998]
70,240,300,-75.00000000000001,[0.9999999999999999; -1.0; 6.2709347237119464e-9; -1.0; 1.0; -1.587519486231165e-8; 1.0; 1.2333691995313219e-8; -1.0]
71,275,300,-75.00000000000001,[1.0; 1.1498249135935083e-8; -1.4255709030360943e-8; 1.0; -2.056643747406982e-8; -1.0; -1.0; -1.0; 1.0]
72,292,300,-75.00000000000001,[-1.0; 1.0; 1.0; 1.0; 1.5324646007357695e-8; -1.5334726783853484e-9; -7.262683094012101e-9; -1.0; -1.0]
73,219,300,-75.00000000000003,[-1.0; -1.0; 1.0; 1.7187021609200198e-8; 1.0; -4.5178521903451e-9; 2.6825584462600028e-9; -1.0; 1.0]
74,258,300,-75.00000000000001,[1.0; -2.155128479943108e-9; -1.0; 3.832501856537082e-9; 1.0; 1.2523696488468701e-8; 1.0; -1.0; -1.0]
