nPsoRun,n_iter,S,fgbest,optDes
127,334,300,-19.512631368174784,[-1.0; 0.6963202947436825; -0.6963202947436826; 1.0]
128,371,300,-19.51263136817268,[0.6963202947436762; 1.0; -1.0; -0.69632029474366]
129,352,300,-19.512631368174784,[1.0; -0.6963202947436825; 0.6963202947436826; -1.0]
130,402,300,-19.512631368174784,[-1.0; 1.0; 0.6963202947436826; -0.6963202947436826]
131,386,300,-19.512631368174784,[-1.0; 0.6963202947436817; -0.6963202947436817; 1.0]
132,368,300,-19.512631368174784,[-1.0; -0.6963202947436825; 0.6963202947436825; 1.0]
133,325,300,-19.512631368174784,[0.6963202947436825; 1.0; -0.6963202947436825; -1.0]
134,393,300,-19.512631368174794,[1.0; 0.6963202947436828; -0.6963202947436827; -0.9999999999999998]
135,350,300,-19.512631368174784,[-1.0; -0.6963202947436826; 0.6963202947436825; 1.0]
136,457,300,-19.512631368174784,[-1.0; 0.6963202947436825; 1.0; -0.6963202947436825]
137,100,300,-19.51125321664169,[1.0; -1.0; 0.6963247783292625; -0.6963108036734145]
138,51,300,-19.448477947526932,[0.6952817624145099; -0.6951278940254695; -1.0; 1.0]
139,386,300,-19.512631368174794,[-0.6963202947436827; 1.0; 0.6963202947436828; -0.9999999999999998]
140,486,300,-19.512631368174794,[-0.6963202947436827; -0.9999999999999998; 1.0; 0.6963202947436828]
141,387,300,-19.512631368174784,[-0.6963202947436826; -1.0; 1.0; 0.6963202947436825]
142,413,300,-19.512631368174794,[-0.6963202947436827; 1.0; 0.6963202947436827; -0.9999999999999998]
143,103,300,-19.512433652773826,[-1.0; 0.6963207975224386; 1.0; -0.6963218741838219]
144,398,300,-19.512631368174784,[-1.0; 1.0; 0.6963202947436826; -0.6963202947436826]
145,388,300,-19.512631368174794,[0.6963202947436827; -1.0; 0.9999999999999998; -0.6963202947436828]
146,511,300,-19.512631368174784,[0.6963202947436826; -1.0; -0.6963202947436825; 1.0]
147,482,300,-19.512631368174784,[-1.0; 0.6963202947436825; -0.6963202947436826; 1.0]
148,167,300,-19.512631309437964,[-0.6963202943164158; 0.6963202939674733; 1.0; -1.0]
149,356,300,-19.512631368174794,[0.6963202947436827; 1.0; -0.6963202947436827; -0.9999999999999998]
150,423,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; -1.0; 1.0]
151,188,300,-19.512255463533545,[-0.6963120970263209; 0.6963120429703183; -1.0; 1.0]
152,376,300,-19.512631368174794,[-0.6963202947436827; 0.9999999999999998; 0.6963202947436827; -1.0]
153,65,300,-19.486106015547016,[-0.6965322500788387; -1.0; 1.0; 0.6964107719376192]
154,85,300,-19.511328346758845,[-0.6962918210006331; -1.0; 1.0; 0.6962916565037123]
155,412,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; 1.0; -1.0]
156,382,300,-19.512631368174794,[-0.6963202947436823; 0.6963202947436823; 1.0; -1.0]
157,400,300,-19.512631368174784,[1.0; 0.6963202947436825; -1.0; -0.6963202947436825]
158,449,300,-19.512631368174787,[-1.0; 0.9999999999999999; -0.6963202947436822; 0.6963202947436825]
159,245,300,-19.51263136800771,[-1.0; -0.6963202947447097; 1.0; 0.6963202947428225]
160,368,300,-19.512631368174784,[-1.0; 1.0; -0.6963202947436826; 0.6963202947436825]
161,133,300,-19.51166456950465,[-0.696308867222102; -1.0; 1.0; 0.6963155061692891]
162,361,300,-19.512631368174784,[1.0; -1.0; 0.6963202947436817; -0.6963202947436817]
163,396,300,-19.512631368174784,[1.0; 0.6963202947436826; -1.0; -0.6963202947436825]
164,185,300,-19.51262698710233,[-0.6963202448548353; 1.0; 0.6963202260153114; -1.0]
165,339,300,-19.512631368174784,[-1.0; 1.0; -0.6963202947436817; 0.6963202947436817]
166,362,300,-19.512631368174784,[-1.0; 1.0; -0.6963202947436826; 0.6963202947436825]
167,135,300,-19.512015560165167,[-1.0; -0.6963248584965299; 1.0; 0.6963252141185369]
168,323,300,-19.512631368174784,[0.6963202947436817; 1.0; -0.6963202947436817; -1.0]
169,420,300,-19.512631368174794,[-0.6963202947436828; 0.6963202947436827; 0.9999999999999998; -1.0]
170,342,300,-19.512631368174784,[-1.0; 1.0; -0.6963202947436826; 0.6963202947436825]
171,402,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; -1.0; 1.0]
172,133,300,-19.510505637291423,[-1.0; 1.0; 0.6962734098199385; -0.696273314232579]
173,387,300,-19.512631368174784,[-1.0; 1.0; 0.6963202947436825; -0.6963202947436826]
174,425,300,-19.512631368174784,[1.0; -0.6963202947436817; 0.6963202947436817; -1.0]
175,478,300,-19.512631368174784,[-1.0; -0.6963202947436825; 0.6963202947436826; 1.0]
176,408,300,-19.512631368174784,[0.6963202947436825; 1.0; -1.0; -0.6963202947436826]
177,199,300,-19.51263121480867,[-0.6963202942928074; -1.0; 0.6963202959688382; 1.0]
178,57,300,-19.505965848933354,[0.6962323450698887; -0.6962084755230624; -1.0; 1.0]
179,398,300,-19.512631368174784,[1.0; -0.6963202947436826; -1.0; 0.6963202947436826]
180,595,300,-19.51263136817476,[0.696320294743682; -0.696320294743682; 1.0; -1.0]
181,361,300,-19.512631368174794,[-0.6963202947436827; 1.0; 0.6963202947436827; -0.9999999999999998]
182,393,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; 1.0; -1.0]
183,370,300,-19.512631368174784,[1.0; -1.0; 0.6963202947436825; -0.6963202947436825]
184,142,300,-19.51249632164405,[-1.0; -0.6963181498701541; 0.696317811269545; 1.0]
185,400,300,-19.512631368174784,[1.0; -1.0; 0.6963202947436826; -0.6963202947436825]
186,366,300,-19.512631368174784,[-0.6963202947436825; -1.0; 0.6963202947436825; 1.0]
187,332,300,-19.512631368174784,[0.6963202947436825; -1.0; -0.6963202947436825; 1.0]
188,382,300,-19.512631368174784,[0.6963202947436817; -1.0; 1.0; -0.6963202947436817]
189,407,300,-19.512631368174784,[1.0; 0.6963202947436826; -0.6963202947436825; -1.0]
190,385,300,-19.512631368174784,[0.6963202947436825; 1.0; -0.6963202947436826; -1.0]
191,353,300,-19.512631368174784,[0.6963202947436817; -1.0; 1.0; -0.6963202947436817]
192,75,300,-19.51097948431355,[1.0; -1.0; 0.6963018373667207; -0.6962945922561521]
193,419,300,-19.512631368174794,[1.0; 0.6963202947436827; -0.6963202947436827; -0.9999999999999998]
194,340,300,-19.512631368174784,[0.6963202947436817; -1.0; 1.0; -0.6963202947436817]
195,352,300,-19.512631368174784,[-1.0; 1.0; -0.6963202947436826; 0.6963202947436825]
196,42,300,-19.418314607702225,[0.6958911697923559; 1.0; -1.0; -0.6969951158883401]
197,414,300,-19.512631368174784,[-1.0; -0.6963202947436825; 0.6963202947436825; 1.0]
198,331,300,-19.512631368174784,[0.6963202947436826; 1.0; -0.6963202947436825; -1.0]
199,53,300,-19.440997334559547,[0.9999098031553763; -0.6969047939656964; 0.696356383330693; -1.0]
200,375,300,-19.512631368174794,[-0.6963202947436827; 0.6963202947436827; -0.9999999999999998; 1.0]
201,366,300,-19.512631368174794,[-0.6963202947436823; 0.6963202947436823; 1.0; -1.0]
202,374,300,-19.512631368174784,[-1.0; 1.0; -0.6963202947436825; 0.6963202947436826]
203,393,300,-19.512631368174794,[0.6963202947436827; -1.0; -0.6963202947436828; 0.9999999999999998]
204,412,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; -1.0; 1.0]
205,87,300,-19.505978557609318,[-0.6961729136220969; 1.0; -1.0; 0.6961728717716329]
206,428,300,-19.512631368174794,[0.9999999999999998; -0.6963202947436828; 0.6963202947436827; -1.0]
