nPsoRun,n_iter,S,fgbest,optDes
115,225,300,1.5884774419496297,[-1.0; 0.5548094067157497; 0.9999999739106296; -0.554809502033258]
116,214,300,1.588480894871508,[1.0; -0.5552060856414768; -1.0; 0.5552060622103802]
117,288,300,1.588477157370582,[0.554795686871454; -1.0; -0.5547956868714566; 1.0]
118,83,300,1.5884866271261,[0.5549516016877204; -0.5549546269144146; 1.0; -1.0]
119,227,300,1.5884784120835067,[-0.99999987529234; 0.9999997635858373; -0.5546170023834094; 0.554616932876306]
120,70,300,1.58861530237149,[-1.0; 0.5567995450497928; -0.5568161548171686; 1.0]
121,32,300,1.5924454132774204,[1.0; 0.5497675532384513; -0.5509625261593639; -1.0]
122,312,300,1.588477353641488,[-1.0; 1.0; 0.5548921952031587; -0.5548921952033626]
123,170,300,1.5884803150977986,[0.5544186264184598; -0.5544186264208788; 1.0; -1.0]
124,64,300,1.5887550754575959,[0.5525203182100863; -1.0; 1.0; -0.5525768438097037]
125,261,300,1.5884772617159966,[-1.0; 1.0; 0.5548539744619578; -0.5548539862327602]
126,199,300,1.5884780854649472,[0.5549712847815066; -0.5549713745385444; -1.0; 1.0]
127,135,300,1.5884792570599555,[0.5551027587124931; -1.0; -0.5551027407390627; 1.0]
128,37,300,1.5904167661873987,[-0.5612013668917103; -1.0; 0.999480551026121; 0.5610735129018986]
129,51,300,1.58863636508173,[-1.0; 1.0; -0.5561249677842576; 0.5561653068744079]
130,185,300,1.588477405178701,[0.5549035388536877; -0.5549035383239816; -1.0; 1.0]
131,342,300,1.58847798843226,[-0.9999997179068537; 0.55487059017437; 1.0; -0.5548703482839265]
132,166,300,1.5884792726885761,[-1.0; 0.5545753639085469; 0.9999995624545378; -0.5545757127343106]
133,100,300,1.5884974429237437,[1.0; -0.5545986336299039; -1.0; 0.5545920723554538]
134,341,300,1.5884771604095844,[1.0; -0.5548096223943432; 0.5548096223943435; -1.0]
135,183,300,1.5884825909329836,[-1.0; -0.5544426824776277; 0.5544417832188527; 1.0]
136,260,300,1.5884775065209193,[-1.0; -0.5549234766396958; 1.0; 0.5549234770974623]
137,285,300,1.5884776352362224,[0.5548933450027804; -0.554893251257913; -1.0; 1.0]
138,110,300,1.588500483131762,[-1.0; 0.5553949996306402; 1.0; -0.5554002138480818]
139,251,300,1.5884772004889962,[1.0; -1.0; 0.5547533643147259; -0.5547533643138807]
140,244,300,1.588477221949299,[1.0; -0.554743461062491; 0.5547434610638882; -1.0]
141,142,300,1.5884778969558813,[-0.5547278342774892; 1.0; 0.5547280484222065; -0.9999996456872111]
142,242,300,1.588477254610002,[-0.5547317133568277; 1.0; 0.5547317139049098; -1.0]
143,127,300,1.588481426351755,[1.0; -0.5543740674519715; 0.5543739576451209; -1.0]
144,324,300,1.5884771574491323,[-0.5547949372049098; -1.0; 1.0; 0.5547949372049091]
145,239,300,1.5884772879466733,[-0.5547205997292997; -1.0; 1.0; 0.5547205997292993]
146,112,300,1.588497048613596,[1.0; -0.555748321884766; 0.5557483215073545; -1.0]
147,356,300,1.588477161179367,[-0.554811000430217; -1.0; 1.0; 0.5548110004320093]
148,190,300,1.5884776900050033,[-1.0; 0.5546535858745671; -0.5546536116970039; 1.0]
149,75,300,1.5884799802048912,[1.0; -1.0; -0.555073338263072; 0.5550737273230617]
150,163,300,1.5884813034918184,[-0.5543695964007882; 0.5543696367794569; 1.0; -1.0]
151,163,300,1.5884811342658045,[-0.5551161773227083; 1.0; -1.0; 0.5551167668764369]
152,325,300,1.588477173037766,[0.5548244649570859; -1.0; 1.0; -0.5548244649570864]
153,102,300,1.5884839194165676,[-1.0; 0.5553520148812513; 1.0; -0.5553520141172906]
154,200,300,1.5884779468897654,[0.5546347331224158; -0.5546347947794955; -1.0; 0.9999998539521008]
155,204,300,1.588479974769269,[1.0; 0.5547742858121982; -1.0; -0.5547733364677271]
156,98,300,1.588487673169213,[-0.5554349535037574; 1.0; 0.5554344159383757; -1.0]
157,272,300,1.5884774038560452,[-0.5549035642846851; -1.0; 1.0; 0.5549035642430828]
158,312,300,1.5884771573245433,[-0.5547963803859953; 1.0; -1.0; 0.5547963803844265]
159,373,300,1.5884787976178196,[-0.5545303085769815; -1.0; 0.9999999933769611; 0.5545303259902462]
160,134,300,1.5885312846740787,[-1.0; 0.5535758938498038; -0.5535687307855246; 1.0]
161,56,300,1.588556340207282,[1.0; -1.0; -0.5561611135091663; 0.5561739245047301]
162,203,300,1.588477867508637,[-0.5546412713837686; 0.5546412131110646; 0.9999999984091401; -1.0]
163,129,300,1.5884823816527907,[1.0; -1.0; -0.5550886220445358; 0.5550874814478888]
164,101,300,1.5884781596954705,[-1.0; 0.5547108874689632; 1.0; -0.5547106044456077]
165,211,300,1.5884776908098819,[-1.0; 0.9999998804821627; 0.5547313600788539; -0.5547313198466497]
166,200,300,1.5884834799893062,[1.0; 0.5552323583064684; -1.0; -0.5552330892495633]
167,156,300,1.588495165455956,[-1.0; 1.0; -0.5556784714643683; 0.5556781529871957]
168,183,300,1.5884775113318423,[1.0; -1.0; -0.5546767918908153; 0.5546767808273807]
169,196,300,1.5884771876094272,[0.5548075871058167; 1.0; -0.5548075966414217; -1.0]
170,211,300,1.5884771572827177,[-0.5547976964032038; -1.0; 1.0; 0.554797696402927]
171,149,300,1.588482410674378,[-0.5543087887517569; 1.0; 0.554308788371047; -1.0]
172,199,300,1.5884796938941688,[0.5548771005565507; -0.5548779116660013; -1.0; 0.9999992494389166]
173,219,300,1.5884771615485758,[-1.0; 0.554807959277606; -0.5548079599376817; 1.0]
174,128,300,1.5884790245808724,[1.0; 0.554514723612934; -0.554514760046971; -1.0]
175,149,300,1.5884868861993198,[-1.0; 1.0; -0.5547921945745168; 0.554788902191343]
176,53,300,1.5886216586496893,[-1.0; -0.5558497413867348; 0.5558087736309247; 1.0]
177,188,300,1.5884837403898016,[-0.5545388984085741; 0.5545371718251586; 1.0; -1.0]
178,95,300,1.5885151142423712,[-0.5560314444230509; 0.5560299268678826; 1.0; -1.0]
179,65,300,1.5884859743465003,[0.5544377601330382; 1.0; -0.5544357448873175; -1.0]
180,100,300,1.588482335795161,[-1.0; -0.5548125585841941; 0.5548108073668055; 0.9999968240126518]
181,123,300,1.5884811718618326,[-0.5550237562300532; -1.0; 0.5550227762424316; 1.0]
182,245,300,1.588477597970903,[0.5549328403450946; -1.0; -0.5549328271068941; 1.0]
183,99,300,1.5885214247104504,[-1.0; 0.5559660855655114; 1.0; -0.5559708533608794]
184,71,300,1.5886123941556547,[0.5527006495105516; -1.0; -0.5526877215515161; 1.0]
185,146,300,1.5884958290189048,[1.0; 0.5539076153394213; -1.0; -0.5539071877461024]
186,61,300,1.5885034212154863,[-0.5557982793136106; 1.0; -1.0; 0.5557996990738193]
187,170,300,1.5884826890967534,[-1.0; 1.0; -0.5543792793872654; 0.5543798513610918]
188,143,300,1.5884777114818176,[1.0; 0.5547789065071403; -1.0; -0.5547790914773395]
189,60,300,1.5884908528328279,[-1.0; 1.0; -0.5554179796976889; 0.5554197415992199]
190,222,300,1.5884773301664077,[0.5547097890474166; -1.0; -0.5547097900660839; 1.0]
191,90,300,1.5885289998847045,[-0.5562700944692254; -1.0; 1.0; 0.5562714655152989]
192,453,300,1.5884771840613607,[0.5547649343737195; -0.554764933296417; 1.0; -1.0]
193,116,300,1.588488510520737,[-0.5554067173197449; 1.0; -1.0; 0.5554056318987584]
