nPsoRun,n_iter,S,fgbest,optDes
83,209,300,0.40000000000000074,[-1.0; -4.6547257195314924e-8; -1.6284284016480945e-8; 1.0; 9.619153984977911e-9; -1.0; 1.0]
84,184,300,0.4000000000000002,[-1.085284684567777e-9; 2.8949281919665192e-8; 1.0; -0.9999999999999994; -1.556319254144329e-8; -1.0; 1.0]
85,188,300,0.40000000000000535,[5.973528515142707e-9; -0.9999999999999502; -1.0215431808593095e-7; 9.347713292084381e-8; 1.0; 1.0; -1.0]
86,182,300,0.4000000000000016,[-1.0; -4.2969495682500015e-10; 5.9275022025065194e-8; -1.0; 1.0; 1.0; -6.031939677538942e-8]
87,209,300,0.40000000000000124,[-1.6810339422523075e-8; -1.0; 1.3655776180177693e-8; 6.322202578257076e-8; -1.0; 1.0; 1.0]
88,210,300,0.40000000000000224,[1.0; 6.396584941416687e-8; -3.8180903027249915e-9; -1.0; -0.999999999999996; 1.0; -7.860963741501451e-8]
89,175,300,0.4000000000000119,[1.4331674789573715e-7; -1.0; 1.0; -1.1511363162975387e-7; -1.0; 1.0; 1.3720988718478896e-7]
90,146,300,0.4000000000000007,[1.0; -1.0; -1.0; -5.568466996772088e-8; 2.3806925512052925e-8; 2.1346971217438228e-8; 1.0]
91,202,300,0.40000000000000674,[-9.423703890528359e-8; -1.0; -6.44025856996441e-8; 1.0; -1.0; 1.0; 1.4938230138259093e-7]
92,173,300,0.40000000000000097,[1.0; -1.0; -1.4131334256476815e-8; 6.141502295236284e-8; 1.807890187870307e-8; 1.0; -1.0]
93,190,300,0.40000000000000163,[-1.0; 6.751312571257817e-8; -1.0; -4.345153102075604e-8; 1.0; 1.0; -5.7271011954536275e-8]
94,167,300,0.3999999999999999,[1.0245098391045672e-8; 1.0; -4.962565419453945e-9; -9.661016314223986e-9; -1.0; -1.0; 1.0]
95,171,300,0.4000000000000035,[1.0; -1.0; 3.9505809888185724e-8; -1.0; -6.248277475051907e-9; 1.0183413335980803e-7; 1.0]
96,202,300,0.4000000000000076,[1.0; -5.129651052389179e-8; -8.955597466427412e-9; 1.744315578596964e-7; -1.0; 1.0; -1.0]
97,171,300,0.40000000000002756,[1.0; 2.807254693633915e-7; -1.3879747960838603e-7; -1.0; 0.9999999999999518; -1.0; 1.1315109341759947e-7]
98,186,300,0.40000000000000074,[-5.392060635727629e-8; 1.0; -1.0; -1.0; 1.0; 1.1162720628957885e-9; 2.6713255305837492e-8]
99,191,300,0.4000000000000006,[-3.764320590628234e-8; -1.6112675701288877e-8; 1.0; 1.0; -1.1184092863893501e-8; -1.0; -1.0]
100,209,300,0.4000000000000004,[2.0245893641657822e-8; 1.0; -1.0; 1.8650907433982882e-8; -1.0; 1.0; -4.114424852037808e-8]
101,193,300,0.4000000000000462,[-2.5341472549655436e-7; -2.455228389135811e-7; 0.9999999999996462; -1.0; 1.2340038417214173e-7; 1.0; -1.0]
102,173,300,0.4000000000000066,[1.4554837385187356e-7; -1.0; -9.671861493647735e-8; 4.800711154453786e-8; -1.0; 1.0; 1.0]
103,204,300,0.4000000000000001,[0.9999999999999947; 1.0; -1.0; 1.3994052995958693e-8; 7.1733404719009245e-9; 1.4749877169084161e-8; -1.0]
104,159,300,0.40000000000002756,[-7.186815432609254e-8; 2.6795479332054193e-8; -1.0; 3.306479846230941e-8; 0.9999999999989516; 1.0; -1.0]
105,184,300,0.40000000000000124,[-2.430802683816054e-8; -1.0; 1.0; -1.0; 6.523189142136357e-8; 2.8344184508039494e-9; 1.0]
106,203,300,0.4000000000000016,[1.0; -1.0; -1.0; 4.000669950319382e-8; -7.468750865005234e-8; 1.0; 1.8531689156168186e-9]
107,173,300,0.4000000000000006,[-0.9999999999999999; 1.0; -4.12801259037015e-8; 1.0; 2.0219064159840965e-8; -1.1884340079471435e-8; -1.0]
108,194,300,0.4000000000000034,[1.8988596325335646e-8; 1.0; -1.0; 1.0; -1.0707062964630095e-7; -1.0; 5.913069880319769e-8]
