nPsoRun,n_iter,S,fgbest,optDes
35,3282,300,-32.12592795254796,[-0.9685175522895255 0.05173786004815407; -0.48892842221561744 0.9999999878960989; 0.27339762063165013 -0.038050673390259894; -0.5347665055260468 -0.9999817525660813; 0.6842210052508244 -0.9987792511727405; 0.9977789517554497 0.6087500506455081; -0.9999999943814887 0.992376761235773; 0.9999981245205626 -0.9999992701228547; -0.9999999011604895 -0.9999999999999953; 1.0 0.9999999999301707]
36,3954,300,-32.364763924345546,[-0.616882304744095 -0.9327026431925118; -0.42740895628072684 0.9999999999998529; 0.9972565449100843 0.9999999999387215; -0.9999999998462984 0.9977920418388384; -0.9999999999989285 -0.999717635297008; 0.25457633667127505 -0.06361312320151839; -0.9883235203695523 0.1717879038614984; 0.9999999999646964 -0.999999999999968; 0.6726629630663725 -0.9999999982927268; 0.9999999755839633 0.6009469138960113]
37,4906,300,-32.62222773355203,[-0.07310438496353125 0.1520842683829861; 0.9999999999999907 -0.9999999999999991; 0.9999999999999972 0.999999999999982; -1.0 1.0; -0.94679042217902 -0.620416131869621; 0.9999979230286171 -0.37076789822133466; -0.9999999999999808 -1.0; -0.9708092078871351 0.6765486081625112; 0.253496333397899 -0.998193900813572; 0.5910701953912437 0.9999999999996201]
38,1225,300,-32.31209908482057,[-0.23093343815805947 0.059999974804972725; 0.9999806800732914 -0.22028901956208227; 1.0 0.999861414707549; -0.9640183628121554 -0.6295247820479313; -1.0 0.6369233926084209; 0.5501576066509839 0.9999999970701797; 0.9999999999251237 -0.999999999997229; -0.9999999999194551 0.999999999854304; -0.9999999998773555 -0.9999999997462392; 0.37856767618859744 -1.0]
39,2587,300,-32.18215833285824,[-0.553807095066231 0.9999999941031223; 0.9953497831634344 0.6201904631253413; -0.9999999999478044 0.9572188841915861; 0.9974169476952326 0.9999999996234302; -0.9999999999917647 -0.9998999111252903; 0.9999999999346505 -0.999999999826498; -0.5636947415169182 -0.9999997461096498; 0.199093407491221 0.006340861674701159; -0.9065727013703628 0.009445576417110647; 0.6916671647036322 -0.9999999994595411]
40,2305,300,-31.919573105088595,[-0.7624197636270076 0.8155275425524912; 0.9999993849585742 -0.49707980513307914; 0.011774663792372604 0.06235941120292373; 0.596002931099548 1.0; 0.022081696568376403 -0.9913073843528375; -0.9999999985919149 -0.5349384879810525; -0.9999999833760276 0.9999999934854212; 0.9999999999942984 0.8705474067885435; -0.9999842156635633 -0.9999999904091263; 0.9998993439822285 -0.9999999981410612]
41,3759,300,-32.484338381717905,[0.9999999999612084 0.5992121528600126; 0.20568111492445942 -0.04315774668899695; 0.9999999999999314 -0.9999999999999999; -0.36567468610263 0.9999954020666054; 0.9497894066859056 -0.675251972990295; 0.9999999999999998 0.9999999999999988; -0.9999999999999999 0.9999999999999997; -0.9999999999999555 -0.9999999970299644; -0.5578649525409293 -0.9999177364222341; -0.9986909357037997 0.2493820237200815]
42,8028,300,-32.20600774613271,[0.999999987173127 0.9999999999993912; -0.9999850211992029 0.58468865603772; 0.037414290259049264 0.9043191866390244; 0.7184695221199073 -0.8541862070438514; 0.9999999980965192 -0.9999999999867034; -0.6244241065987632 -0.9999999818736428; 0.9999999877896922 0.5842823111819108; -0.9999999957367156 0.9999999999975834; -0.999984056308916 -0.7225866596352662; -0.08044839889642452 -0.12183636310469072]
43,6464,300,-32.164434494566684,[0.9999999999999806 0.9999999999999793; -0.9999999999865468 -0.37435848516769193; 0.010707117558965746 0.2364326741822617; -0.23670953293344527 -0.9999948096976713; 0.9999999999988229 -0.5473969786051698; -0.9999999999999997 -1.0; -0.9999999999999946 1.0; 0.9609132531873285 -0.9999999999999019; 0.6310920235903283 0.9999956024263706; -0.7261229568200449 0.874701816213502]
44,6951,300,-32.26759085999081,[0.9999999999999992 1.0; -0.9999999999999983 0.9999999999998153; -0.14486618163659692 0.020685501207433822; 0.9999999999999978 -0.9854986238471801; 0.5243735746199477 -0.9999999900064729; 0.9987609193526084 0.10529358884547109; -0.9997049589072105 0.6069809973813154; 0.45777968747254605 1.0; -0.9999999999999752 -0.9999999999999979; -0.9363311288950845 -0.663694243425799]
