nPsoRun,n_iter,S,fgbest,optDes
44,626,300,0.5131942418618788,[-1.0 -0.9999920675198893; 0.9999998882432319 0.12912227639262713; 1.0 -0.9999999681796763; 0.02366016270183344 0.030486840552936736; -0.12604247975246455 0.9999754280136214; -0.014712756283908062 -0.0017763555390886106; 0.12672210174297496 -1.0; -1.0 -0.12347667462155126; -0.9999514702421411 0.9998886898025742; 0.9999620009799223 0.9999009363604698]
45,1105,300,0.5126430133748515,[0.02332503600200137 -0.005138713158698826; 0.9999999987984917 -0.07011118096424968; -0.9999999861768766 0.9999999473533605; 0.9999976448831792 0.9999999994649951; -0.9999999619342622 -0.9999999523396044; 0.0725790840488655 0.9999998632884172; 0.9999999827599405 -0.9999999992961962; -0.9999998743679076 0.07258188580641461; -0.0703164386173855 -0.9999998057311509; -0.01319096971691399 0.01882928061266256]
46,801,300,0.5152677700617562,[0.9999995917487198 0.9999974568345327; 1.0 -0.9999975825911638; -0.2182561975478732 -0.9999999912427364; 0.010324974566566968 -0.004135440490539759; -0.9999989786328263 -0.9999898388524893; -0.9999999794574995 0.9999991489163139; -0.013515050773697006 0.006091668536719831; 0.21782694553966614 0.9999998176094959; 0.9999986480369066 -0.2177733072693509; -0.9999994973708124 0.2182500129852826]
47,1447,300,0.5137702929877588,[0.16493041411762613 0.999999966173146; -0.9999999579627177 -0.9999999997969006; -0.006638635245620754 0.014723974797661887; 0.9999978885791546 0.9999999826658686; -0.16625237221764194 -0.9999999606682721; -0.9999997733899112 0.16747841303391497; -0.9999999884783767 0.9999999806074905; 0.99999914464284 -1.0; -0.004986466678675065 0.003506406040038694; 0.9999999976960694 -0.1637567072551391]
48,917,300,0.5130615041583854,[-0.9999999799097916 -1.0; 0.12392949514661682 0.999999967608006; 0.9999999541237188 0.999999878621872; 0.9999999530666525 -0.9999999861635818; -0.9999999936254198 0.999999938049515; 0.009471722959647313 0.009216971250849498; 0.9999999368566425 -0.12091821992618085; -0.9999999999526772 0.1229551535145953; -0.12000527802210187 -0.9999999479939717; 0.009004506245438701 0.004861623457140521]
49,837,300,0.5125300482286504,[-0.9999992525886134 1.0; -0.9999933603804311 0.042083197207175974; 0.9999999849693685 -0.045483478309909856; 0.9999793600677641 0.9999993465996879; -0.9999994658617363 -0.9999982492481355; 0.04508125875222302 0.9999997560424365; 0.018185939822284624 -0.020032447919691977; -0.04252027535477849 -1.0; -0.004015520638375764 0.003846488691793063; 1.0 -0.9999986947145186]
50,934,300,0.5126998019866238,[0.01570072052686488 0.017764968516716464; 0.07925705465359538 -0.9999994267079555; -0.9999986805758602 1.0; -0.9999999919973351 -0.9999999171733419; 1.0 -0.9999617619417904; 0.9999998780006283 0.08109197755716212; -0.024836606307007018 -0.007092457457971658; -0.9999998689846572 -0.0792088939872163; -0.08128419341562482 0.9999950896827203; 1.0 1.0]
51,419,300,0.5129623796162608,[-0.9999867885391427 1.0; 0.9999977402883282 -0.11511098858961623; 0.9999905313804505 -0.9999999496152449; -0.9999875358864563 -0.9999668795376502; 0.11436403318850764 0.9999987930082079; -0.11323129520302207 -0.9999942595587556; 0.9999982332527725 0.9999661934008565; -0.003946509269943223 -0.000200309814050714; 0.011962736154092725 -0.01240261720890335; -1.0 0.11247706584814433]
52,1597,300,0.5124442139349203,[-0.999999999988873 0.9999999999996052; -0.9999999999999298 0.0008585367485374453; -0.0015903183236779218 0.9999999999991991; -1.0 -0.9999999999951512; 0.9999999999997841 0.002552690297370049; 0.9999999999998158 -0.9999999999891988; 0.00685947817910589 0.015193992984377019; 0.00018372646349892454 -0.9999999999995897; 0.9999999999970477 1.0; -0.013858759443042646 0.0018605888518028898]
53,596,300,0.5149231916467648,[-0.9999982691614546 0.20732657889478837; 0.014404863901691474 -0.014821383481425712; 0.9999998140030475 0.9999993289086432; 0.9999992826777752 -0.9999975448466769; 1.0 -0.20886859829266965; 0.2081269748231808 0.9999984838751993; -0.9999982874020322 0.9999996031070174; -0.2081661711643574 -0.9999994211261991; -0.9999991464201077 -0.9999968663288992; -0.012196938326554496 0.006188739263988498]
54,1085,300,0.5126581527571018,[-0.0808512618868746 -0.999999920133506; -0.9999999747906694 0.08096751094678539; 0.9999999437245879 -0.999999988905821; 0.9999998502108304 -0.08028664540645161; 0.08040023686000104 0.9999999297520522; -0.9999998515790134 -0.9999999165395335; -0.0023410747762511656 0.0003744697423331131; 0.9999999414535007 0.9999974735724115; -0.9999998153275644 0.9999998898262894; -0.00035605473570905365 0.0028147810637409866]
55,709,300,0.5125873738911491,[0.0189770697852511 0.007592930793545425; 0.004711010274100628 -0.021705220767552092; 0.058312491009347815 0.9999987727193462; -0.05386367603648822 -1.0; -0.9999743412679399 -0.9999959740746233; 0.9999844227904551 -0.9999982256116956; -0.9999994610961782 0.9999660257369801; 0.9999986219119634 -0.05775767623936428; 0.9999909795229286 0.9999960202873158; -0.9999971477642025 0.05458166653024688]
56,536,300,0.5125452129267707,[0.0024371883864755237 -0.020817082722060027; 0.013133472607652285 -0.000544923428348151; 0.049453006518214326 0.9999970445336369; -0.04666227180884924 -0.9999900783436281; -1.0 -0.9999996642712013; 0.9999999962519304 0.9999937489675066; -0.999992052642076 0.9999722839780124; 0.9999999895210882 -0.050351543931313095; 1.0 -0.9999958137892174; -1.0 0.0458865487888147]
57,763,300,0.5131598149190291,[0.010436325641807898 0.020529115313643948; 0.9999968787152943 0.9999903202063276; -0.9999996356642742 -0.12776216324324235; 0.999996059702322 0.13040338393737383; 0.12844288583532856 -0.9999988944264208; -0.9999945889699127 -0.9999960894055768; -0.015193704023862883 -0.00539332458257746; 0.9999983999139911 -0.9999995514557528; -0.9999973876933015 0.9999862679500718; -0.12984793623896107 0.999999485002484]
