nPsoRun,n_iter,S,fgbest,optDes
119,133,300,-25.59483164906597,[0.1138169959830983; -0.7185157638117553; -1.0; 1.0; 0.7400062001798356]
120,635,300,-25.720354112130607,[-0.0009371323709414156; -0.728876058238395; 0.7286958119895199; -1.0; 1.0]
121,1057,300,-25.71363045710443,[-0.03001763545538884; 1.0; -0.9999999985628506; 0.725947672444316; -0.7317157564977315]
122,1197,300,-25.718020996577696,[0.01771290761392477; -1.0; 1.0; 0.7305047035020871; -0.7270989785835876]
123,532,300,-25.72035107603172,[0.7288949912656657; -0.7286769203677489; 1.0; -1.0; 0.0011337899568131208]
124,151,300,-25.715117797833305,[0.9999046955155158; 0.7298165794548547; -1.0; 0.011035897136445498; -0.7277180600150042]
125,111,300,-25.692687293164358,[-0.7243407246087319; 0.7335644149409876; 0.9999923981861876; 0.048801380534550395; -0.9999927201806237]
126,54,300,-25.6699690159098,[1.0; -0.7247349457364463; -1.0; 0.7334129134940511; 0.0406543264237052]
127,562,300,-25.71632010422316,[0.023274945316436396; -0.9999999999546001; 0.9999999996766286; 0.7310504657223809; -0.726576401172665]
128,825,300,-25.70029958980937,[1.0; -0.7239622019354911; -0.9999993174311578; 0.05171544213662763; 0.733881086370123]
129,198,300,-25.717701085908896,[-0.9999720216722103; -0.005136038582433406; 0.7282778544449596; -0.7292841518351421; 1.0]
130,513,300,-25.720356870238874,[-0.7288544764211068; -1.0; 1.0; -0.0007129122235440713; 0.7287173561924506]
131,304,300,-25.720349167013442,[1.0; -0.7289043709596483; -0.0012311688255753253; 0.7286675659874311; -1.0]
132,1137,300,-25.709423003531093,[-0.9999999999466387; -0.7251851475204822; 0.03827674776204837; 0.99999999405466; 0.7325356627347868]
133,54,300,-25.69870860531585,[0.009015167580254904; -0.7277415072769667; 0.7294675521873848; -1.0; 1.0]
134,384,300,-25.720314389841448,[-0.0024912920387530294; -1.0; 0.7285466221659515; -0.7290257897803492; 1.0]
135,557,300,-25.717238761743545,[0.020453226600033157; 0.7307732562215696; -1.0; -0.7268410776518888; 0.9999999921493838]
136,546,300,-25.706207528526416,[0.7247042843643585; 1.0; -0.043532825352415164; -0.7330602952553896; -1.0]
137,198,300,-25.717017539357002,[-0.019909645591604477; -0.7307166266008314; -0.9999879510512419; 0.7268906685476512; 1.0]
138,453,300,-25.710861412749285,[0.7322767623317968; 1.0; -0.7254244680750643; 0.03567493535656557; -1.0]
139,476,300,-25.719846256117346,[0.9999999999999953; -1.0; -0.728740929047163; 0.728825361105181; 0.00042263556424478954]
140,736,300,-25.72017089244819,[-0.00504527140811726; -1.0; 0.7283019982872232; -0.7292723706054304; 1.0]
141,618,300,-25.7199421546025,[0.007492355036868421; 1.0; -1.0; 0.7295092340889531; -0.7280682541211773]
142,440,300,-25.715880485180445,[1.0; -0.7311329551908392; 0.7264962534575173; -0.024125230946881723; -0.9999957974165511]
143,468,300,-25.71664406255771,[0.022318653864656424; -0.9999999999997139; 0.7309564536329262; 1.0; -0.7266659939096627]
144,211,300,-25.718199550447604,[-0.730309208976839; -1.0; 0.7272834437966617; 0.9999999993515711; -0.015729300918329876]
145,340,300,-25.7180863350323,[0.7272124933774201; -1.0; 1.0; -0.7303855181013559; -0.016514156638420763]
146,105,300,-25.705074555924565,[-0.724631525112665; -1.0; 1.0; 0.04426823551003572; 0.7331300240164219]
147,199,300,-25.718845554859822,[-1.0; 1.0; -0.01331496364454318; -0.7300765103735789; 0.7275153220613906]
148,495,300,-25.718104292980918,[-0.7271290056908605; 0.017394444536996203; 0.7304735382072008; -0.9999999999960667; 0.9999999960820672]
149,150,300,-25.71352493032345,[0.9999999856815411; -0.7266657681585025; 0.0224105516064078; 0.7309875790733446; -0.9999973679085309]
150,610,300,-25.7202351054699,[-0.7291814027570132; -1.0; 1.0; 0.728392090436684; -0.004103845579090239]
151,594,300,-25.720147412069313,[-0.7282730193151371; 1.0; 0.7293016697865067; -1.0; 0.005348295927719798]
152,244,300,-25.70778408206454,[-0.73279204567825; -0.040842086955266275; 1.0; 0.7249493757493918; -0.9999981452652935]
153,997,300,-25.720051628217732,[-0.7293758772341297; 0.7281995661459723; -0.9999999999185764; -0.006114309038285338; 0.9999999999970304]
154,262,300,-25.68690003588489,[0.999999927540961; -0.9999999998594497; 0.7354101509029499; -0.7226166362951573; 0.06683488241640005]
155,398,300,-25.716873138723948,[-0.7267441196201154; -1.0; 0.02148495660576999; 0.9999992785064931; 0.730874546713628]
156,1032,300,-25.71646643006344,[-0.7310086588375986; 0.7266162140854029; -0.022849862716473136; 0.999999999999959; -0.9999999999963997]
157,583,300,-25.7172004715275,[0.7268286974874546; -0.020584931684464975; 1.0; -0.7307861704092451; -1.0]
158,120,300,-25.716628269252087,[-0.7272745222937868; -1.0; 0.7303423515774884; 1.0; 0.016137089807550967]
159,773,300,-25.720310129361728,[-0.7290366062272358; 0.7285358638221723; 1.0; -0.002603465454004478; -1.0]
160,679,300,-25.72035281112879,[-0.0010260280797186546; -1.0; -0.7288846161066604; 1.0; 0.7286872718639664]
161,126,300,-25.718863380891257,[-0.7297404670859002; 0.7278492758611783; 1.0; -1.0; -0.009837839736025273]
162,462,300,-25.720353574440196,[0.7286921879299376; -0.7288796896308319; -0.000974854833410128; 1.0; -1.0]
163,507,300,-25.71777648207476,[-0.9999999836627167; 0.0030933191107245066; 0.9999997561558115; 0.7290654988745809; -0.7285134425322513]
164,84,300,-25.69361899493677,[1.0; -0.7323788802651192; -1.0; -0.038110742066746334; 0.7250830293343951]
165,223,300,-25.71358434573532,[-0.7260155080212808; 1.0; 0.7316449349448022; -1.0; 0.029328124330015443]
166,650,300,-25.720265329935614,[-1.0; -0.7284426502418606; 1.0; 0.0035759391226375236; 0.7291304307654514]
167,866,300,-25.718284652769633,[0.7304041873845315; 0.016685413215887235; 0.999999999990362; -0.7271959008820167; -0.9999999999871447]
168,526,300,-25.713720630208286,[-0.9999999195016734; -0.7259668702201276; 1.0; 0.029811168454797015; 0.7316951999242725]
169,524,300,-25.720292684472767,[0.003019613801863876; -1.0; 1.0; -0.7284959631679874; 0.729076744789676]
170,856,300,-25.71916085629716,[0.7275743440792087; 1.0; -1.0; -0.012685329522743477; -0.7300137979017102]
171,713,300,-25.720119321234353,[1.0; 0.005689654530527901; -0.7282403859082561; -1.0; 0.729334686275402]
172,630,300,-25.71637986063688,[0.9999999978356148; 0.023101937185898647; -0.7265926032344038; 0.731033447569808; -0.9999999999999986]
173,333,300,-25.720353070403306,[-0.0009224604695076046; 0.7286972119621604; 1.0; -1.0; -0.728874634756404]
174,456,300,-25.716260722059634,[0.7265604843504574; -0.7310671914654; 0.9999999999999994; -0.023444943421689363; -1.0]
175,660,300,-25.720358258127924,[1.0; 0.0005675136184796396; -0.7287313295681164; -1.0; 0.7288404841177161]
176,298,300,-25.711140154472975,[0.03461823264795553; 0.7321695596179245; -0.9999990906711854; -0.7255207301124261; 0.999992477070482]
177,94,300,-25.702486362741787,[-1.0; 1.0; 0.7258086536359246; -0.0317310715661583; -0.731803179785336]
178,240,300,-25.71715443851918,[0.9999994834345567; -0.7302756148216528; -1.0; -0.015184088766408293; 0.7273348827988819]
179,777,300,-25.714394666460514,[-1.0; 1.0; -0.02827856043550275; 0.7261093580334084; -0.7315437467577012]
180,218,300,-25.71990252683107,[-0.00043740788436505564; 0.7287420159251111; 0.9999998576911574; -0.7288241058959403; -0.9999859155321162]
181,374,300,-25.719929707285097,[0.7294648708271194; 0.999999836405278; -0.7281124709554688; -1.0; 0.00703851464497174]
182,510,300,-25.720201527022187,[0.7292312794055054; 0.004620131031090591; 1.0; -0.7283426717121652; -1.0]
183,703,300,-25.718290199360293,[-0.7304019452675019; 0.727198066891958; -1.0; 1.0; -0.016662453492510648]
184,254,300,-25.66465744704448,[0.7211138755378552; -0.9999706475505182; -0.08396211061237673; -0.7371696036851638; 1.0]
185,142,300,-25.7195292902865,[0.7280437419627059; -0.7295381650037108; 1.0; -0.9999999929191518; -0.007778121695447375]
186,62,300,-25.645665745624207,[1.0; -0.7285629628271748; 0.7297925277729816; -1.0; 0.0115609135905793]
187,292,300,-25.715132708495936,[0.7263449126401592; -0.02579409293052156; -0.9999999949392808; -0.7312967789968831; 1.0]
188,520,300,-25.7047476922579,[-0.7245055976002598; 0.045715885935483; 0.7332787982436725; 0.9999999450174637; -1.0]
189,77,300,-25.701732610664635,[-0.7257088200921622; 0.7320301229307489; 1.0; 0.03389297219857283; -0.9999987149777719]
190,219,300,-25.719839633740968,[1.0; 0.004519996718280706; -1.0; -0.7283504804962863; 0.7292184144854819]
191,246,300,-25.719214884303486,[-1.0; 0.004850166116976187; 0.9999708306150733; 0.7292452867320227; -0.7283178133171172]
192,73,300,-25.66546899661801,[-1.0; 0.7248199641935944; -0.7333737030798043; -0.04900591352658326; 1.0]
193,465,300,-25.720359707249585,[-0.7288202392996603; 0.728751554591149; -0.00035710378059701416; 1.0; -0.999999999964763]
194,895,300,-25.71644520428297,[-0.022912020126512125; -0.7310147710485313; -1.0; 1.0; 0.7266103911686806]
195,373,300,-25.72029775739955,[-1.0; 0.0029047152572763404; 0.729065660791349; 1.0; -0.728506977932441]
196,445,300,-25.717410828832644,[0.7268942405310682; -0.019887529497852684; -0.7307177531519988; 1.0; -1.0]
197,284,300,-25.71956420602702,[-0.7297847056562632; -0.010330793209081982; -1.0; 0.7277979198495421; 1.0]
198,736,300,-25.7114880021923,[0.7312913264195423; 0.9999999999819187; -0.7263887171292147; -1.0; 0.02565101819413088]
199,223,300,-25.71942495635435,[1.0; -0.7298568324875543; 0.7277276394510339; -0.011072291792681734; -1.0]
200,517,300,-25.71917512976701,[1.0; -1.0; -0.7300062685107936; -0.012608005429193889; 0.727581677870452]
201,411,300,-25.719755878971714,[-0.7279239468283821; 0.7296560809878773; 1.0; 0.009006447880202282; -0.9999999993541163]
202,290,300,-25.710661763322133,[1.0; -0.7254253144548575; -1.0; 0.03569640714779342; 0.7322780114045323]
203,354,300,-25.7166267324381,[0.7309614294894962; -0.7266612528151689; -1.0; 1.0; 0.022369509465059122]
204,99,300,-25.709245979382548,[0.7267030659707527; -0.023191737743439706; -1.0; -0.7309958062753245; 1.0]
205,621,300,-25.712628485366352,[0.9999999999999938; 0.7319306885652956; -1.0; -0.7257464662787761; 0.03218861955569994]
206,65,300,-25.575965978659973,[-0.7201744826524834; -1.0; 1.0; 0.7391420656105523; 0.10491008303850957]
207,995,300,-25.71354808580104,[-0.9999999986578472; -0.030216613324458415; 0.7259292568753556; -0.7317353804063321; 0.999999999972698]
208,507,300,-25.718680268460602,[-1.0; 1.0; 0.7273540063872216; -0.7302406882033043; -0.015011982403279946]
209,48,300,-25.461476231555643,[0.745915143843821; -0.7142308956383275; 1.0; 0.16755353836006148; -1.0]
210,577,300,-25.71256192041909,[-0.7257367776595904; 0.7319407694235253; 0.9999999999966854; 0.03229156629060784; -0.9999999988319909]
211,1148,300,-25.719822214920462,[0.7296067789956446; 1.0; 0.008498364013331134; -0.727972344796518; -1.0]
212,344,300,-25.709537180566763,[-0.03806944576536634; -1.0; 0.7252041561580022; 1.0; -0.7325149785610945]
213,616,300,-25.716601858691828,[-0.7309692672764688; 0.7266537597380917; 1.0; -0.022449191228833165; -1.0]
214,244,300,-25.701662188495686,[0.7242719083389104; -0.04834913811195219; 0.9999866788900795; -0.7335356196319961; -1.0]
215,331,300,-25.715592458162053,[1.0; -0.7312470368194675; 0.7263896795576756; -1.0; -0.025271811763450676]
216,522,300,-25.716474594493057,[1.0; 0.7310063034009988; 0.022825908408600517; -1.0; -0.7266184582487815]
217,855,300,-25.718836384668773,[0.72742158378204; -0.9999999997571555; 1.0; -0.7301709820671743; -0.014297727986223434]
218,683,300,-25.720210129378387,[-0.7283548619402143; -1.0; 0.004492747148503577; 0.7292189717008338; 1.0]
219,873,300,-25.720346545388267,[0.001375943344856286; -1.0; 1.0; -0.7286536636979679; 0.7289183097231066]
220,425,300,-25.708940710804793,[0.7251093428377524; 0.999999997092997; -0.039103136459271395; -0.732618004546471; -0.9999999762548557]
221,198,300,-25.718147760127415,[-1.0; 1.0; 0.00349581976317951; -0.7284461494283117; 0.729149122040703]
222,693,300,-25.72001981481144,[0.9999999999999467; 0.006761583734817807; 0.7294384384010922; -0.7281379907629142; -1.0]
223,90,300,-25.691347001327987,[0.04657360822909089; 0.7334040740033408; 1.0; -1.0; -0.7245220049230586]
224,168,300,-25.71036220352812,[-0.7270716687672543; 0.017475441047798766; 0.9999999132332861; 0.730448078270894; -0.9997893612849235]
225,129,300,-25.70655495274228,[0.009953383045743539; 0.7299659304225392; -0.7277456974822889; 1.0; -1.0]
226,973,300,-25.71911862732851,[0.012906604743744813; 0.7300353544495182; -1.0; -0.7275533633270019; 1.0]
227,230,300,-25.71279722497974,[0.9999999970105272; -0.030914458970070318; 0.7258617262569999; -1.0; -0.7318006806877005]
228,306,300,-25.720212280812156,[-0.004461135421316839; -1.0; 1.0; -0.7292159167159419; 0.7283578877145883]
229,176,300,-25.719544140654538,[-0.7277880354049904; 1.0; 0.7297948655185282; 0.010434564480436958; -1.0]
230,217,300,-25.717100330043657,[-1.0; 1.0; 0.7275142698207229; -0.013639620903404849; -0.730095907789871]
231,342,300,-25.717670939306174,[1.0; 0.7269785389425805; -0.7306299156344098; -1.0; -0.018991477962522714]
232,740,300,-25.718531825624883,[-1.0; 0.7272926599960253; -0.730304058469496; -0.01566089674279961; 1.0]
233,359,300,-25.71909868769573,[-0.013009389673065702; -1.0; -0.7300453690211912; 0.9999999979405357; 0.7275436188882305]
234,1429,300,-25.71595961488909,[-0.9999999998521659; -0.7264814127209537; 0.9999999948916526; 0.02429004086587465; 0.7311503630721616]
