nPsoRun,n_iter,S,fgbest,optDes
74,254,300,0.9452083063771868,[1.0; -0.6197611779879506; -1.0; 0.6204905381165261; 0.0031339716092740086]
75,428,300,0.9452254677359776,[0.999999385636047; -0.6194780463904573; -0.9999970032684967; 0.005563548524324145; 0.6207742030573346]
76,200,300,0.9452788840922304,[0.9999978244558716; -0.009858127549786511; -0.9999575205889873; -0.6212740667847728; 0.6189938596983269]
77,187,300,0.9452502445377136,[-0.009485093375763825; -0.6212449042992293; -1.0; 0.6190325983199524; 1.0]
78,555,300,0.945280893958205,[-0.6198782785476109; -0.9999765098426798; 0.6204019125056686; 0.9999993829915197; 0.0021129634923322876]
79,617,300,0.9452354686693633,[-0.6210939806325645; -0.008247514133028508; 0.6191745123071968; -1.0; 1.0]
80,363,300,0.945244233676951,[1.0; -0.6190673300848459; 0.621204704518084; 0.009184637820252976; -0.9999999219562432]
81,384,300,0.9452051843914641,[-1.0; -0.0017900866987629672; 1.0; -0.6203332029119455; 0.6199165857165982]
82,292,300,0.9452049947558716,[-0.0005664737187547169; 0.6200580961409295; -0.9999999999992956; 0.9999999999967886; -0.6201905074882328]
83,507,300,0.9452056188834324,[-1.0; 0.0020343933439157893; 0.6203617665630828; -0.6198882904974595; 1.0]
84,600,300,0.945219246162059,[-1.0; 0.005782706991705677; 0.9999999999999999; 0.6208021551148432; -0.6194563203143734]
85,458,300,0.94520526173415,[1.0; -1.0; 0.6203385672716001; 0.0018359794945461243; -0.6199112691531997]
86,556,300,0.9452082303966352,[-0.00312316709448287; 1.0; 0.6197623992895118; -0.6204892710794905; -1.0]
87,307,300,0.9452038862421064,[-0.0006420859726527809; -1.0; -0.6201992113494693; 0.9999999999932047; 0.6200497752453212]
88,827,300,0.9452401609002583,[0.999999997539001; -0.621166053650017; 0.6191053399346961; -0.008854434788329603; -1.0]
89,745,300,0.9452232971581287,[-1.0; 0.9999999999999992; 0.6193760387217123; -0.6208848901079933; -0.006483277161558075]
90,387,300,0.9452957424436308,[0.0024389753927247138; -0.6198032957993139; 0.9999999971932185; -0.9998439354686063; 0.620407080577972]
91,991,300,0.9453207890330882,[0.999999999479943; 0.01584785198334837; -0.9999997275494295; 0.6220045772278983; -0.6183163913997598]
92,599,300,0.9452140649706149,[-0.6195781213384703; 0.004722248495342852; -1.0; 0.9999999999999588; 0.6206771534004933]
93,450,300,0.945246317006657,[-0.6190240456666855; 0.6212511040826687; 0.009569192258783228; 1.0; -1.0]
94,470,300,0.9452270283553587,[-0.6193073949514082; -1.0; 0.007083174731124163; 1.0; 0.6209558878562493]
95,224,300,0.9452773757430036,[-0.6216101259375095; -1.0; -0.012571347706674627; 0.6186842518689677; 1.0]
96,270,300,0.9458290942767351,[-1.0; 0.03256128784094822; -0.6164477087145427; 1.0; 0.6241376104757985]
97,40,300,0.9510408049737955,[-1.0; -0.6127960053390978; 0.9975616936219577; 0.07111514175453088; 0.6295124182996302]
98,343,300,0.9452189133304701,[0.005565163931970832; 0.6207761569358898; -0.9999998586413023; 0.9999996044811492; -0.6194811731036401]
99,538,300,0.9453050809976926,[0.6218732825726365; -0.9999999904301045; 0.01476025285333442; 0.999999999999987; -0.6184382044426926]
100,464,300,0.9452049136247708,[0.6203132486272233; -1.0; 1.0; 0.00161932919672159; -0.6199363727450464]
101,582,300,0.9452049401689185,[0.6199343390211829; -0.0016368762797466382; 1.0; -0.6203152987498595; -1.0]
102,283,300,0.9452194999133774,[1.0; -1.0; -0.005828837546787066; 0.6194510295499215; -0.6208075981868901]
103,442,300,0.9452131665106135,[0.999999854076253; 0.004257995161718997; -1.0; -0.6196312728585117; 0.6206231100603931]
104,395,300,0.9452262447061366,[-0.9999996459603118; -0.6193274430388174; 0.006907819217913395; 0.9999999158790135; 0.6209350781889736]
105,931,300,0.9452229796701188,[-0.9999999878769412; 0.9999999981588804; -0.006438142558508878; 0.6193812004158822; -0.6208795728461389]
106,432,300,0.9452407573842424,[0.6191071462112313; -0.6211643634894095; -0.9999996052908178; -0.008839705967871451; 0.9999999999558633]
107,826,300,0.9452335404533504,[-1.0; 1.0; -0.6210658317110728; 0.619201473808625; -0.008010716561496068]
108,486,300,0.9452089865313299,[-1.0; -0.6205186276689105; 1.0; 0.6197335098139846; -0.0033734353356178704]
109,430,300,0.9452308145552963,[1.0; -0.6210214078081673; -0.9999999999999999; 0.6192442138510235; -0.007636184303645603]
110,129,300,0.94540594298988,[-0.0192878052688684; -0.622444091148159; 1.0; -1.0; 0.6179289617523839]
111,166,300,0.9453214520753359,[0.9999998685270263; -0.6219368833571902; 0.6183793850820365; -0.9999915456258994; -0.015285315131298036]
112,344,300,0.9452046583867413,[0.9999999994330794; 0.0014384084103071547; -0.6199573457778418; 0.6202921147453129; -1.0]
113,463,300,0.9452129867422556,[1.0; 0.6196071373998318; -1.0; -0.004470035653719596; -0.6206474712076038]
114,371,300,0.9453472596612226,[0.6181327300822829; 0.9999990537700914; -0.01749128349416927; -0.9999997303443635; -0.6222040382112984]
115,194,300,0.9452081284368847,[0.9999999999638796; -0.6204802914998917; -1.0; -0.0030469882321468252; 0.6197712058703665]
116,264,300,0.9452473960759495,[1.0; -0.9999956141744848; 0.6192104224684899; -0.6210447143303948; -0.007893542974050047]
117,708,300,0.9452434791026715,[-0.9999999927590765; -0.6190605902958486; 0.009247796767271346; 0.6212128484636822; 0.9999999974661734]
118,571,300,0.9452490073511012,[-1.0; 0.6189899372193315; -0.009869656836632004; -0.6212869216745586; 1.0]
119,604,300,0.945274749547524,[0.9999999995656219; -0.6215845507771378; -0.012359195368421765; -1.0; 0.6187082088733028]
120,722,300,0.9452103232434632,[-0.6205658258524485; 1.0; -0.9999999999999981; -0.003775484576158071; 0.6196871374020456]
121,373,300,0.9452340244479618,[0.007773196453637888; -0.9999986551967869; 0.6210370425312822; 1.0; -0.6192283491634978]
