nPsoRun,n_iter,S,fgbest,optDes
49,3589,300,-10.177791385072215,[0.9999999999999976 0.9999999999999916; 0.2717854461466986 -0.9999999999999988; 0.5128047673118895 0.29711498406579023; -1.0 0.3866115385792669; -0.999999999999984 -0.9999999999999448; 0.9999999999999989 -0.9999999933970545; -0.14784043263083127 0.9999999999999845]
50,7487,300,-10.197079498832824,[0.24313713572221005 -0.5286923895696585; 0.9999999999999547 -0.9999999999999277; -0.9972609560666869 -0.9999999999999551; 0.35446114093237224 0.9999999999989421; 0.9999999999999869 0.11046122618725135; -0.9986925957240277 0.9999882818512482; -0.9999999999999981 -0.2862664681235063]
51,3604,300,-10.19436926183432,[0.9999999999905441 -0.3617099748378116; 0.11979576942890713 -0.9999999753020767; -0.9999999993237152 0.997318964797049; 0.9999999999823783 0.9992362231582513; -0.2831890670417946 0.9999999999996892; -0.5253874431935776 -0.25619362440131965; -0.999999999974699 -0.999999989036385]
52,4189,300,-10.179395043406613,[0.513259784533022 -0.2951617024849429; 1.0 1.0; -0.9999999999999957 -0.38550997867521797; 0.9999999999999991 -0.9999994799561401; -0.14620389694727748 -1.0; 0.27220753417743393 0.9999999770350411; -0.9999999999999982 1.0]
53,798,300,-10.08431807909407,[0.327427637457059 0.4762545467083429; -1.0 0.23831072027767214; -0.9999669495839548 1.0; 0.42925691145787565 -0.9999988077524589; 0.9999930193164339 -0.14666901773423185; 0.9739372425516054 0.9999997644380303; -0.9999949528877322 -0.9999687757672321]
54,488,300,-10.19875619615989,[-1.0 -0.9999951017713352; 0.5154309377083964 0.24957809118039959; 1.0 -0.9999940200666916; 0.9999948962392181 0.9940866967038611; -0.1036777226952264 0.9999964584070854; -1.0 0.3672089748294362; 0.27556706783881596 -1.0]
55,2298,300,-10.188731910484398,[1.0 -0.9999999999999996; -0.9999999997649838 0.37863670419024426; 0.2743244734733538 -0.9999999588096569; -0.13378974720563763 0.9999999999999994; 1.0 0.9991026660371756; 0.5154388827442817 0.2811984646496463; -0.9999999999999986 -0.9999999999999948]
56,5030,300,-10.136691638116151,[-0.9999999999999999 0.09192444039836002; 0.9999999999999998 -0.9999999999999997; 0.9999999999999996 -0.20121866024323756; -0.32046181702558174 -0.4329876210062618; 0.9999999999999992 0.9999999999999998; -0.4676891185247787 0.9999999999999978; -0.9261757285623659 -0.9999999999999997]
57,2624,300,-10.023156095690386,[0.3342863056428201 0.9999999999999445; 0.5954356694471735 -0.23980797886155092; 0.999999999999928 -0.9999999999999991; -0.9999999999999911 -0.3061573782506045; -0.1748149215696245 -0.9999999999367275; -0.9976920010992345 0.9702710509661385; 0.999999999999984 0.979144859884144]
58,2968,300,-9.944958249186243,[-1.0 0.09612722441825663; -0.3763283250769643 -0.37763425501851366; 0.9994030049732838 -0.12691493290474976; 0.9999999999999998 -0.9999999999999994; 0.9999999999999999 0.9999999999999999; -0.5833795879643991 0.9972020054652464; -0.8338101288799336 -0.9999999999999991]
59,3356,300,-10.203460239732117,[-0.9999999999996881 -0.9999999999957061; 0.9998448442580197 0.9999999999999977; -0.3620273156437773 0.9999999999997181; 0.9999600191029548 -0.999999999999996; 0.9999999999999745 -0.2812979083923566; -0.2517515186519265 -0.5225356453759095; -1.0 0.11178362557619251]
60,5335,300,-10.179900915425842,[0.9999997394062055 -0.29114388984064044; 0.9955832473140485 -0.9999999999983039; -0.99999999744263 -0.9999999999999412; 0.9955452798359603 0.9999993095628402; -0.2424836283784686 -0.5358839798796444; -0.9999999999966962 0.11700262420698962; -0.3492035066997906 0.9999999996044083]
61,2389,300,-10.137269692426885,[-0.9366665540506259 -0.9999999999999997; -0.45593983774366115 0.9999999999999996; -0.9999999999999997 0.09939762333406899; -0.31633690983293833 -0.4447148529806682; 0.9999999999999997 -0.2111211856138485; 1.0 -1.0; 0.9999999999999976 0.9999999999999895]
62,3941,300,-9.315197243743828,[0.03658327185250672 0.18408457553155638; 0.9999999999999977 -0.9999915623845567; -0.9394876672027658 0.5106584827444834; 1.0 0.5126247468795856; -0.999999999997824 -0.6069726233222565; -0.015832633506501815 -0.9999999999999586; 0.1410305555548004 0.9999999999999318]
