nPsoRun,n_iter,S,fgbest,optDes
44,4118,300,-46.192941810563696,[0.33228469675403854 0.025463592262005307; -0.41629903490285886 -0.9999999999999998; 0.9999999999999987 0.9999999999999999; 0.9999999999999988 -0.858180849642039; 0.9999890141204006 0.9999999999999991; -1.0 0.8488018079524305; -0.9493683452917757 0.999999999999996; 1.0 -0.06449674199454106; 0.7994817156699011 -0.9999999999999999; -0.9999999999999991 -0.5964708722779112; -0.07034106147075891 0.7391590685620042; -0.9961457799428824 -1.0]
45,7219,300,-44.282684743779974,[-0.9974354290684365 0.9999996866778031; -0.9997885069067688 0.9999999999890139; 0.9999999999999489 0.34910665565542776; 0.9999999999998416 0.9999999587628722; -0.5744364687143516 -1.0; -0.20536038970413967 0.20650135399610742; 0.9999999999996273 -0.8460410894460123; 0.8329664076398134 -0.9999999999999656; -0.9999999999996811 -0.49105261188564636; -0.9999999999990768 -0.9968655223454129; 0.20347215045978595 -0.1649344814717063; 0.674746709715564 0.999999999999934]
46,10000,300,-52.92094223018941,[-0.9999999999975634 -0.4877850012026224; -0.47085262000886335 -0.9999999999980449; 0.9999999917616351 0.999998917291622; 0.9868878830192609 -0.9897314807090225; -0.9596804041874933 0.9999999999989897; -0.9999999999755781 -0.48778500125564006; -0.4708526184874914 -0.9999999999841159; 0.2889581748262721 0.052135935010775174; -1.0 0.9826739292140805; 0.9999995162029525 0.996764106671451; 0.9999999999979647 -0.9596091969309538; 0.12597169255750887 0.3049664492909781]
47,8469,300,-47.93582570668693,[-0.9227080543988582 -0.9999999999999997; 0.9999999999999999 0.2654354321077943; -0.10411797022643471 -0.5445724014305369; 0.9821218328836153 0.9999999999999987; 0.7608094784172426 -1.0; -0.053903997826279144 0.4287459794328926; -1.0 -0.8773382548297541; 0.9999999999999992 -0.34332333531050896; -0.9207998107951303 0.9999999999999886; 0.9928304507664579 -0.999999999999999; 0.792019984706472 1.0; -0.9999999999999989 0.8872945876835996]
48,10000,300,-46.00979866243107,[-1.0 0.9909711040807482; -0.8415019661930175 1.0; 0.018004472348674087 0.6264147473844515; -0.2611405377455104 -0.1256725265769335; -0.9498499644532349 -0.9999999999998032; 0.9999999999999366 -0.9987554748121438; 0.7892336383931247 -0.9999999999999961; 0.8019689161191849 0.9999999999991753; -0.9999999999999811 0.006564039556542578; 0.999999999999905 0.017027948007694974; -1.0 -0.9926959040482983; 0.9999999999998757 0.8319027791449003]
49,6120,300,-52.93330210561303,[0.48383065241768747 1.0; 0.9574592084211392 -1.0; 0.4838306524176876 1.0; 0.9999999999999998 0.4760963537278874; -0.9999999999999953 0.9583294043691003; -0.9836723518134846 -0.9999999999999969; -0.981625876396989 0.9999999999999996; 0.9999999999999999 0.4760963537278857; -0.3034262708279943 -0.05126645147493438; 0.9822859558408793 -0.9884664763414642; -0.057957147685245375 -0.28706219945482425; -0.9997472744143885 -0.9927234051796492]
50,9115,300,-47.34749182814548,[0.9999999999999998 -0.9585483117448499; -0.9999999999999989 0.999999999999768; 0.9999999999999998 0.8703161875879866; 0.040914075629121006 0.6462602307212306; -0.9999999999999996 -0.8746264488483955; 0.7546136753384828 -1.0; 0.9999999999999992 -0.16013558400344785; 0.8693978118767998 0.9999999999999994; -0.860727787145245 0.9999999999999997; -0.8085090042186714 -0.9999999999999999; -0.9999999999999999 -0.04193091824659325; -0.168117528377553 0.00556087190247081]
51,3210,300,-47.343595162907995,[-0.04821911659312097 0.5351194213096735; -1.0 -0.37774531907289355; -0.9999999999999991 0.9034453367411821; 0.9412048566888253 -0.9999999999999988; 0.9999999999999999 -0.7114655986988498; 0.5039581928785277 0.03279814946534646; 0.9148766652505987 0.9999999999999993; -0.9999999999999999 -0.7900669753031584; -0.871251298966741 1.0; 0.3848146064942297 -1.0; 0.9999999999999997 0.9220017554453622; -0.659357491930815 -1.0]
52,7544,300,-46.66520386833341,[-0.9999999996477471 0.7793982851844441; 0.9999999994698789 1.0; -0.8825833694670361 -1.0; 0.8153042577985227 -0.9999999999999594; -1.0 0.999999946231298; -0.2967411447062871 1.0; 1.0 0.9907409211148853; 0.051904004889309345 0.684927875824092; 0.9999999999994204 -0.9932388432090958; -0.9999999999812244 -0.8848076225920558; 0.6636496584421234 0.0004042822443221781; 0.999999999321928 -0.17344750870250095]
53,6774,300,-46.00503902086644,[-0.9999050269347829 -0.9999999999999996; 0.9999999137089394 -0.9993992020489845; -0.9999999999999976 -0.8867000560837817; -0.9999999999999998 0.8779230519687405; -0.01033151221209591 -0.585301625737192; 0.9999999999999999 0.9192654939303357; -0.8409921045111581 1.0; 0.9999999999999998 -0.8023392213110149; 0.1480242259024166 -0.9999999999999999; 0.9999999999999997 0.3184141156642863; 0.6669652692063329 1.0; -0.7209035150071544 0.008778407422028489]
54,5385,300,-48.19900870843306,[0.09098194924250334 -0.9999999999999998; -0.9056321778969914 0.9983181891051084; 0.8742226545860743 -0.9999999999999996; -0.9999999999999998 -0.8510474856527868; -1.0 0.8516918204716029; 0.11850125717784984 0.9999999999999997; -0.1397142415250248 -0.05871758563272223; -0.9158775166283495 -0.9999999439732483; 0.9999999999999989 0.8182155021242851; 0.5048575194094149 -0.010676835299156247; 0.9999999999999991 -0.8312911162621015; 0.8733064285843328 0.9999999999999991]
55,10000,300,-46.332639669570455,[0.9999999990178886 0.8625104261929811; -0.7600168286984514 0.9999999998615405; -0.9999999999982396 -0.9998887042844777; -0.9999999999142538 0.9909860834565551; -0.9999999999999305 -0.99999999996148; 0.9999999998452176 -0.017231293591977354; 0.7808032800903512 0.9999999999925213; -0.17773328269943758 -0.0439534260910082; -0.031282322349764705 -0.7403680847578209; -0.9999999997805024 0.1624518417643276; 0.8188060976960206 -0.9999999990668683; 0.9999999998254239 -0.990638221828513]
56,2984,300,-46.63673641768892,[-0.9540319177176304 -1.0; 0.8642712258856643 -0.9999999999999887; 0.9999999999999978 0.8635941027888704; 0.7878719689425292 0.9999999999999987; -0.6592697950447637 0.9999999999999992; -0.9999999999999998 -0.8621870005489551; 0.9999999999999991 -0.9983267984615406; 0.23653785867675917 -0.06837985578631976; -0.060086045209120136 -0.7046943245910273; -1.0 0.9930468570344259; -0.9999999999999946 0.347682298457097; 0.9999999999997328 0.07857688315964645]
57,5399,300,-46.908931137882696,[-0.9372319310602839 -0.9999999999999997; -0.9999999999999999 0.7934205583508487; -0.478359151739638 -0.040514726482699825; 0.7205148988396244 0.9999999999999997; -0.9086336349330145 1.0; 0.018881256001936856 -0.6263948659432914; 1.0 0.7664654922907346; 0.9997391499340742 -0.9999999999999992; 0.9999999999999999 0.18194670254104578; -0.9999999999999983 -0.9981971159114159; -0.0873165835508357 0.9999999999999997; 0.9999999999999996 -0.8978105608355677]
58,3957,300,-46.64946564055183,[-0.9999999999999993 0.6410838106991519; 0.9999999999999999 0.9624497995497405; -0.8572817197270443 -0.9999999999999999; -0.38012974681021244 1.0; 0.152626161595692 -0.04551140235460548; 0.6859494545887931 0.029026777010376783; -0.92680402524792 1.0; 0.9155512784448652 -0.9999999999999997; 1.0 -0.9684787971085917; -0.12160804417622002 -1.0; -0.9999999999999998 -0.7625833711860431; 0.8811411968395988 1.0]
